symbol,interval,strategy,max_drawdown_pct_full_run
SOLUSDT,240,ADX14_DI_20,82.293
SOLUSDT,240,ADX14_DI_25,87.0295
SOLUSDT,240,ADX14_EMA13_34,81.6966
SOLUSDT,240,ADX14_EMA21_50,80.5201
SOLUSDT,240,ADX14_EMA8_21,81.2366
SOLUSDT,240,BB_10_2_RSI14,84.8023
SOLUSDT,240,BB_10_2_breakout,81.5405
SOLUSDT,240,BB_20_25_ADX20,82.3245
SOLUSDT,240,BB_20_25_ADX25,86.44
SOLUSDT,240,BB_20_25_EMA100,84.8416
SOLUSDT,240,BB_20_25_EMA200,84.8416
SOLUSDT,240,BB_20_25_EMA50,82.3245
SOLUSDT,240,BB_20_25_MACD,82.3245
SOLUSDT,240,BB_20_25_RSI14,82.3245
SOLUSDT,240,BB_20_25_RSI14_55,82.3245
SOLUSDT,240,BB_20_25_SQ,82.6296
SOLUSDT,240,BB_20_25_VOL12,81.0599
SOLUSDT,240,BB_20_25_breakout,82.3245
SOLUSDT,240,BB_20_25_revert,83.5181
SOLUSDT,240,BB_20_2_ADX20,85.6147
SOLUSDT,240,BB_20_2_EMA100,82.3026
SOLUSDT,240,BB_20_2_EMA200,84.3877
SOLUSDT,240,BB_20_2_EMA50,85.5967
SOLUSDT,240,BB_20_2_MACD,85.6147
SOLUSDT,240,BB_20_2_RSI14,81.9204
SOLUSDT,240,BB_20_2_RSI14_55,81.9204
SOLUSDT,240,BB_20_2_RSI7_50,81.7915
SOLUSDT,240,BB_20_2_SQ,80.9175
SOLUSDT,240,BB_20_2_VOL12,80.9846
SOLUSDT,240,BB_20_2_breakout,81.9204
SOLUSDT,240,BB_20_2_mid,81.8928
SOLUSDT,240,BB_20_2_revert,82.8992
SOLUSDT,240,EMA3_13_34_100,82.1551
SOLUSDT,240,EMA3_13_50_200,80.963
SOLUSDT,240,EMA3_21_50_200,80.963
SOLUSDT,240,EMA3_8_21_100,83.9561
SOLUSDT,240,EMA3_8_21_50,81.2324
SOLUSDT,240,EMA3_8_34_100,80.963
SOLUSDT,240,EMA_13_34,81.6966
SOLUSDT,240,EMA_13_34_RSI14_55,82.446
SOLUSDT,240,EMA_13_34_RSI7_55,85.1134
SOLUSDT,240,EMA_13_34_VOL12,82.3212
SOLUSDT,240,EMA_13_50,82.8199
SOLUSDT,240,EMA_21_100,84.0677
SOLUSDT,240,EMA_21_50,80.5201
SOLUSDT,240,EMA_21_50_RSI14_55,81.7811
SOLUSDT,240,EMA_34_100,84.0677
SOLUSDT,240,EMA_50_200,84.0677
SOLUSDT,240,EMA_8_21,82.0255
SOLUSDT,240,EMA_8_21_RSI14_55,84.8646
SOLUSDT,240,EMA_8_21_RSI14_60,83.53
SOLUSDT,240,EMA_8_21_VOL12,83.0695
SOLUSDT,240,EMA_8_21_VOL15,81.2339
SOLUSDT,240,EMA_8_34,84.015
SOLUSDT,240,EMA_8_34_RSI14_60,83.2289
SOLUSDT,240,EMA_BB_ADX_13_34,86.3717
SOLUSDT,240,EMA_BB_ADX_8_21,80.4977
SOLUSDT,240,MACD_12_26_hist,82.3395
SOLUSDT,240,MACD_12_26_sig,82.3395
SOLUSDT,240,MACD_8_21_hist,82.7772
SOLUSDT,240,MACD_8_21_sig,82.7772
SOLUSDT,240,MACD_RSI14_50,86.2395
SOLUSDT,240,MACD_RSI14_55,82.2507
SOLUSDT,240,MACD_RSI7_50,81.8976
SOLUSDT,240,MACD_RSI7_55,83.1604
SOLUSDT,240,RSI14_6535,84.604
SOLUSDT,240,RSI14_7030,80.7038
SOLUSDT,240,RSI14_trend50,82.4874
SOLUSDT,240,RSI21_7030,81.7967
SOLUSDT,240,RSI7_6535,85.9147
SOLUSDT,240,RSI7_trend50,84.0569
SOLUSDT,240,STOCH14_EMA13_34,84.3116
SOLUSDT,240,STOCH14_EMA8_21,82.2947
SOLUSDT,240,STOCH14_cross,84.9848
SOLUSDT,240,STOCH5_cross,83.4931
SOLUSDT,240,TS_13_34_100_14,82.9634
SOLUSDT,240,TS_13_34_200_14,86.6549
SOLUSDT,240,TS_8_21_100_14,85.4901
SOLUSDT,240,TS_8_21_50_14,80.9426
SOLUSDT,60,ADX14_DI_20,82.2146
SOLUSDT,60,ADX14_DI_25,82.5611
SOLUSDT,60,ADX14_EMA13_34,82.5332
SOLUSDT,60,ADX14_EMA21_50,82.6776
SOLUSDT,60,ADX14_EMA8_21,82.8497
SOLUSDT,60,BB_10_2_RSI14,83.2249
SOLUSDT,60,BB_10_2_breakout,81.5676
SOLUSDT,60,BB_20_25_ADX20,81.5469
SOLUSDT,60,BB_20_25_ADX25,86.2184
SOLUSDT,60,BB_20_25_EMA100,83.3328
SOLUSDT,60,BB_20_25_EMA200,81.3218
SOLUSDT,60,BB_20_25_EMA50,81.5469
SOLUSDT,60,BB_20_25_MACD,81.5469
SOLUSDT,60,BB_20_25_RSI14,81.5469
SOLUSDT,60,BB_20_25_RSI14_55,81.5469
SOLUSDT,60,BB_20_25_SQ,81.6227
SOLUSDT,60,BB_20_25_VOL12,81.5469
SOLUSDT,60,BB_20_25_breakout,81.5469
SOLUSDT,60,BB_20_25_revert,81.7143
SOLUSDT,60,BB_20_2_ADX20,82.4734
SOLUSDT,60,BB_20_2_EMA100,81.8869
SOLUSDT,60,BB_20_2_EMA200,83.1333
SOLUSDT,60,BB_20_2_EMA50,82.1241
SOLUSDT,60,BB_20_2_MACD,86.8125
SOLUSDT,60,BB_20_2_RSI14,86.8125
SOLUSDT,60,BB_20_2_RSI14_55,86.8125
SOLUSDT,60,BB_20_2_RSI7_50,83.079
SOLUSDT,60,BB_20_2_SQ,85.8635
