symbol,interval,strategy,leverage,cooldown_candles,n_trades,final_equity,min_equity_full_run,survives_to_holdout_end,net_pnl_full_run,max_drawdown_pct_full_run,n_valid_validation_months,n_validation_months_target_met,frac_validation_target_met,best_deviation_pct_validation,median_deviation_pct_validation,worst_deviation_pct_validation,net_pnl_validation,max_drawdown_pct_validation,last_trade_exit_time,source
SOLUSDT,240,EMA_8_21,1,0,318.0,96.878825,96.87882513571111,False,-403.121175,80.6542,12,0,0.0,100.0,100.0,100.0,0.0,80.65419270846118,2024-07-06 08:00:00+00:00,measured
SOLUSDT,240,EMA_8_21,2,0,152.0,97.387039,97.3870388911534,False,-402.612961,80.5827,12,0,0.0,100.0,100.0,100.0,0.0,80.5827290215777,2024-04-02 16:00:00+00:00,measured
SOLUSDT,240,EMA_8_21,3,0,105.0,94.52487,94.52486978804001,False,-405.47513,81.1824,12,0,0.0,100.0,100.0,100.0,0.0,81.18244519061162,2024-03-15 20:00:00+00:00,measured
SOLUSDT,240,EMA_8_21,5,0,62.0,97.001666,97.00166619020399,False,-402.998334,80.7487,12,0,0.0,100.0,100.0,100.0,0.0,80.74872351679524,2024-03-03 04:00:00+00:00,measured
SOLUSDT,240,EMA_8_21,10,5,22.0,92.476677,92.4766771477369,False,-407.523323,81.7443,12,0,0.0,100.0,100.0,100.0,0.0,81.7442834904589,2024-02-20 00:00:00+00:00,measured
SOLUSDT,240,EMA_8_21,10,20,29.0,72.827908,72.82790820897725,False,-427.172092,85.4344,12,0,0.0,100.0,100.0,100.0,0.0,85.43441835820455,2024-03-24 20:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,1,0,296.0,97.048552,97.04855180156795,False,-402.951448,80.6366,12,0,0.0,100.0,100.0,100.0,0.0,80.63656010836286,2024-09-02 08:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,2,0,145.0,93.640597,93.64059662876844,False,-406.359403,81.361,12,0,0.0,100.0,100.0,100.0,0.0,81.3609595920606,2024-04-30 00:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,3,0,91.0,90.922293,90.9222933825551,False,-409.077707,81.945,12,0,0.0,100.0,100.0,100.0,0.0,81.94497306130434,2024-03-24 20:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,5,0,55.0,84.087186,84.08718581097895,False,-415.912814,83.3811,12,0,0.0,100.0,100.0,100.0,0.0,83.38112342729615,2024-03-08 12:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,10,5,27.0,98.247304,98.24730417593162,False,-401.752696,80.3505,12,0,0.0,100.0,100.0,100.0,0.0,80.35053916481367,2024-02-29 16:00:00+00:00,measured
SOLUSDT,240,EMA_13_34_RSI14_55,10,20,28.0,98.296007,98.29600654992191,False,-401.703993,80.3408,12,0,0.0,100.0,100.0,100.0,0.0,80.34079869001563,2024-04-01 04:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,1,0,277.0,96.793648,96.79364789531354,False,-403.206352,80.6947,12,0,0.0,100.0,100.0,100.0,0.0,80.69466964582152,2025-02-24 16:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,2,0,141.0,96.942205,96.94220450203915,False,-403.057795,80.7182,12,0,0.0,100.0,100.0,100.0,0.0,80.71822722715838,2024-08-03 16:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,3,0,86.0,97.50187,97.50186976140935,False,-402.49813,80.6601,12,0,0.0,100.0,100.0,100.0,0.0,80.66011049783869,2024-05-13 00:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,5,0,48.0,99.38013,99.38013048718256,False,-400.61987,80.3951,12,0,0.0,100.0,100.0,100.0,0.0,80.39511294894675,2024-03-25 04:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,10,5,23.0,86.906596,86.90659643166066,False,-413.093404,83.0865,12,0,0.0,100.0,100.0,100.0,0.0,83.08651371176336,2024-03-25 04:00:00+00:00,measured
SOLUSDT,240,RSI14_7030,10,20,23.0,69.909728,69.90972758807357,False,-430.090272,86.3944,12,0,0.0,100.0,100.0,100.0,0.0,86.39439044301959,2024-04-26 20:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,1,0,291.0,98.403475,98.4034749212953,False,-401.596525,80.3497,12,0,0.0,100.0,100.0,100.0,0.0,80.3497342171688,2024-06-10 04:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,2,0,148.0,98.420474,98.4204737353324,False,-401.579526,80.3767,12,0,0.0,100.0,100.0,100.0,0.0,80.37668020197663,2024-03-27 04:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,3,0,102.0,91.078619,91.07861949538568,False,-408.921381,81.8685,12,0,0.0,100.0,100.0,100.0,0.0,81.86850806395185,2024-03-13 08:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,5,0,72.0,94.745209,94.74520908180028,False,-405.254791,81.1965,12,0,0.0,100.0,100.0,100.0,0.0,81.1965475735614,2024-03-04 08:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,10,5,27.0,78.922826,78.92282584814103,False,-421.077174,84.4199,12,0,0.0,100.0,100.0,100.0,0.0,84.41993398493553,2024-02-20 00:00:00+00:00,measured
SOLUSDT,240,MACD_12_26_hist,10,20,30.0,80.093979,80.09397850073299,False,-419.906021,83.9812,12,0,0.0,100.0,100.0,100.0,0.0,83.9812042998534,2024-03-19 12:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,1,0,274.0,99.82438,99.82438049979953,False,-400.17562,80.0827,12,0,0.0,100.0,100.0,100.0,0.0,80.08271781860269,2024-07-06 08:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,2,0,137.0,98.555326,98.55532566470674,False,-401.444674,80.3827,12,0,0.0,100.0,100.0,100.0,0.0,80.38268909408319,2024-04-05 12:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,3,0,94.0,95.190371,95.19037080571871,False,-404.809629,81.0974,12,0,0.0,100.0,100.0,100.0,0.0,81.09743336575985,2024-03-16 16:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,5,0,60.0,88.136629,88.13662891312777,False,-411.863371,82.5808,12,0,0.0,100.0,100.0,100.0,0.0,82.58079702258,2024-03-05 20:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,10,5,22.0,86.416533,86.41653324612224,False,-413.583467,82.7167,12,0,0.0,100.0,100.0,100.0,0.0,82.71669335077554,2024-02-22 08:00:00+00:00,measured
SOLUSDT,240,MACD_RSI14_50,10,20,34.0,78.394282,78.39428245567365,False,-421.605718,84.3211,12,0,0.0,100.0,100.0,100.0,0.0,84.32114350886526,2024-04-01 04:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,1,0,168.0,274.909362,273.5038024967548,True,-225.090638,45.3658,12,0,0.0,83.87096774193549,93.44086021505376,100.0,-79.03873838530654,35.94740434663786,2026-08-27 20:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,2,0,149.0,98.070359,98.07035861169709,False,-401.929641,80.4336,12,0,0.0,83.87096774193549,93.44086021505376,100.0,-158.07747677061315,71.80742480703181,2026-05-23 16:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,3,0,105.0,91.478506,91.47850571549367,False,-408.521494,81.7709,12,0,0.0,90.3225806451613,96.72043010752688,100.0,-107.59727200270987,81.77092989758576,2025-09-04 12:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,5,0,51.0,98.339932,98.33993222125929,False,-401.660068,80.4511,12,0,0.0,100.0,100.0,100.0,0.0,80.45110567670967,2024-11-22 12:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,10,5,28.0,89.183029,89.18302942251,False,-410.816971,82.3781,12,0,0.0,100.0,100.0,100.0,0.0,82.37809981028154,2024-08-15 20:00:00+00:00,measured
SOLUSDT,240,BB_20_25_breakout,10,20,23.0,83.257239,83.25723889414922,False,-416.742761,83.549,12,0,0.0,100.0,100.0,100.0,0.0,83.54899173795133,2024-08-12 04:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,1,0,286.0,98.625456,98.62545592724501,False,-401.374544,80.2749,12,0,0.0,76.66666666666667,90.16129032258064,100.0,-138.91792034512991,80.274908814551,2025-10-17 16:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,2,0,140.0,95.407218,95.40721801507573,False,-404.592782,80.9186,12,0,0.0,100.0,100.0,100.0,0.0,80.91855639698485,2024-12-16 16:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,3,0,97.0,93.664681,93.66468146069849,False,-406.335319,81.2671,12,0,0.0,100.0,100.0,100.0,0.0,81.2670637078603,2024-09-11 08:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,5,0,59.0,93.336804,93.33680366233432,False,-406.663196,81.3326,12,0,0.0,100.0,100.0,100.0,0.0,81.33263926753312,2024-06-17 04:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,10,5,27.0,94.332588,94.33258812198073,False,-405.667412,81.1335,12,0,0.0,100.0,100.0,100.0,0.0,81.13348237560385,2024-04-02 16:00:00+00:00,measured
SOLUSDT,240,BB_20_2_RSI14,10,20,32.0,82.558737,82.55873748413,False,-417.441263,83.4883,12,0,0.0,100.0,100.0,100.0,0.0,83.488252503174,2024-06-17 04:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,1,0,288.0,96.900795,96.90079480347299,False,-403.099205,80.7652,12,0,0.0,100.0,100.0,100.0,0.0,80.76520872307208,2024-06-19 04:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,2,0,138.0,95.496509,95.49650883250507,False,-404.503491,81.1851,12,0,0.0,100.0,100.0,100.0,0.0,81.1850871065791,2024-03-29 04:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,3,0,94.0,94.487773,94.48777284324257,False,-405.512227,81.5214,12,0,0.0,100.0,100.0,100.0,0.0,81.52140356675616,2024-03-14 16:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,5,0,66.0,88.091056,88.09105551806778,False,-411.908944,83.0233,12,0,0.0,100.0,100.0,100.0,0.0,83.02329927887504,2024-03-04 16:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,10,5,25.0,90.330729,90.3307288198551,False,-409.669271,83.2033,12,0,0.0,100.0,100.0,100.0,0.0,83.20327338768044,2024-02-22 08:00:00+00:00,measured
SOLUSDT,240,ADX14_DI_20,10,20,25.0,95.249633,95.24963344475981,False,-404.750367,82.2886,12,0,0.0,100.0,100.0,100.0,0.0,82.2886179066938,2024-03-23 04:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,1,0,314.0,98.891121,98.89112145893239,False,-401.108879,80.2218,12,0,0.0,100.0,100.0,100.0,0.0,80.22177570821353,2024-04-24 12:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,2,0,162.0,96.930025,96.93002512083825,False,-403.069975,80.614,12,0,0.0,100.0,100.0,100.0,0.0,80.61399497583236,2024-03-15 20:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,3,0,117.0,99.994323,99.99432322683367,False,-400.005677,80.0011,12,0,0.0,100.0,100.0,100.0,0.0,80.00113535463326,2024-03-05 00:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,5,0,81.0,87.915571,87.91557137029406,False,-412.084429,82.4169,12,0,0.0,100.0,100.0,100.0,0.0,82.41688572594119,2024-02-24 04:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,10,5,39.0,82.445566,82.4455655582322,False,-417.554434,83.5109,12,0,0.0,100.0,100.0,100.0,0.0,83.51088688835357,2024-02-15 04:00:00+00:00,measured
SOLUSDT,240,STOCH14_cross,10,20,41.0,79.570274,79.57027396569515,False,-420.429726,84.1508,12,0,0.0,100.0,100.0,100.0,0.0,84.15081181449828,2024-03-03 08:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,1,0,277.0,98.387282,98.38728204633884,False,-401.612718,80.3695,12,0,0.0,100.0,100.0,100.0,0.0,80.36945233452673,2024-08-28 12:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,2,0,144.0,96.687026,96.68702558365658,False,-403.312974,80.7546,12,0,0.0,100.0,100.0,100.0,0.0,80.75457182399472,2024-04-30 00:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,3,0,96.0,91.030162,91.03016212102312,False,-408.969838,81.9236,12,0,0.0,100.0,100.0,100.0,0.0,81.9235528693313,2024-03-19 20:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,5,0,57.0,93.51816,93.51815966954166,False,-406.48184,81.5172,12,0,0.0,100.0,100.0,100.0,0.0,81.51719863299786,2024-03-08 04:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,10,5,20.0,88.744957,88.74495730893955,False,-411.255043,82.251,12,0,0.0,100.0,100.0,100.0,0.0,82.25100853821209,2024-02-27 12:00:00+00:00,measured
SOLUSDT,240,TS_13_34_200_14,10,20,25.0,73.599635,73.59963454797412,False,-426.400365,85.2801,12,0,0.0,100.0,100.0,100.0,0.0,85.28007309040517,2024-03-26 16:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,1,0,343.0,97.75403,97.75402972603649,False,-402.24597,80.5588,12,0,0.0,100.0,100.0,100.0,0.0,80.55881237601002,2024-04-30 04:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,2,0,170.0,94.696738,94.69673784438561,False,-405.303262,81.2718,12,0,0.0,100.0,100.0,100.0,0.0,81.27184822805157,2024-03-16 18:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,3,0,113.0,90.707007,90.7070071523342,False,-409.292993,82.1604,12,0,0.0,100.0,100.0,100.0,0.0,82.16036270997773,2024-03-05 23:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,5,0,87.0,90.126297,90.12629656297486,False,-409.873703,82.469,12,0,0.0,100.0,100.0,100.0,0.0,82.4689802851942,2024-02-29 22:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,10,5,61.0,84.58776,84.58775954655664,False,-415.41224,83.9854,12,0,0.0,100.0,100.0,100.0,0.0,83.98542328366729,2024-02-26 09:00:00+00:00,measured
SOLUSDT,60,EMA_8_21,10,20,51.0,91.769528,91.76952799706027,False,-408.230472,82.6257,12,0,0.0,100.0,100.0,100.0,0.0,82.62573504477704,2024-02-27 15:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,1,0,357.0,97.08799,97.08799047155253,False,-402.91201,80.7608,12,0,0.0,100.0,100.0,100.0,0.0,80.76080586739113,2024-07-08 08:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,2,0,168.0,95.141114,95.14111399424223,False,-404.858886,81.3182,12,0,0.0,100.0,100.0,100.0,0.0,81.31824688632027,2024-04-04 20:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,3,0,108.0,98.09255,97.51066708624442,False,-401.90745,81.0257,12,0,0.0,100.0,100.0,100.0,0.0,80.91248244036576,2024-03-15 06:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,5,0,72.0,96.694986,96.69498555144753,False,-403.305014,81.5179,12,0,0.0,100.0,100.0,100.0,0.0,81.5179193453956,2024-03-05 18:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,10,5,48.0,85.676192,85.67619152993689,False,-414.323808,84.3189,12,0,0.0,100.0,100.0,100.0,0.0,84.3188645379884,2024-02-29 21:00:00+00:00,measured
SOLUSDT,60,EMA_13_34_RSI14_55,10,20,38.0,70.350466,70.35046568445921,False,-429.649534,87.1239,12,0,0.0,100.0,100.0,100.0,0.0,87.12390032150142,2024-03-03 07:00:00+00:00,measured
SOLUSDT,60,RSI14_7030,1,0,408.0,99.256775,99.25677492532276,False,-400.743225,80.2281,12,0,0.0,100.0,100.0,100.0,0.0,80.22807630678531,2024-12-20 06:00:00+00:00,measured
SOLUSDT,60,RSI14_7030,2,0,213.0,99.005627,99.00562744304682,False,-400.994373,80.3567,12,0,0.0,100.0,100.0,100.0,0.0,80.35670360611763,2024-07-07 23:00:00+00:00,measured
SOLUSDT,60,RSI14_7030,3,0,138.0,93.476861,93.4768605803174,False,-406.523139,81.5273,12,0,0.0,100.0,100.0,100.0,0.0,81.52726377787765,2024-05-04 10:00:00+00:00,measured
