symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,ADX14_DI_25,10.0,,True,0.03,0,one_shot,201,-14.448778,42.261167,56.709945,30.51,177,54,123,332.696813,-347.145591,6.161052,-2.822322,31.4172,10.09,91,0,85,1,18.012,485.551222,True,0.09
SOLUSDT,240,ADX14_EMA13_34,10.0,,True,0.03,0,one_shot,110,-11.278789,14.406722,25.685511,21.25,80,17,63,184.650007,-195.928796,10.861765,-3.109981,22.2591,22.06,56,0,23,1,16.6139,488.721211,True,0.09
SOLUSDT,240,ADX14_EMA21_50,10.0,,True,0.03,0,one_shot,95,0.431069,20.612923,20.181854,22.22,63,14,49,156.092543,-155.661474,11.149467,-3.176765,22.1745,29.06,45,0,17,1,10.7902,500.431069,True,0.13
SOLUSDT,240,ADX14_EMA8_21,10.0,,True,0.03,0,one_shot,126,-54.757393,-20.420957,34.336436,22.43,107,24,83,201.312102,-256.069496,8.388004,-3.085175,26.8903,16.93,71,0,35,1,17.2257,445.242607,True,0.11
SOLUSDT,240,BB_10_2_RSI14,10.0,,True,0.03,0,one_shot,120,25.531899,49.315155,23.783256,25.68,74,19,55,208.190399,-182.6585,10.957389,-3.321064,23.2593,21.32,55,0,18,1,14.5075,525.531899,True,0.16
SOLUSDT,240,BB_10_2_breakout,10.0,,True,0.03,0,one_shot,135,14.406102,42.345704,27.939602,22.99,87,20,67,224.396735,-209.990633,11.219837,-3.134189,21.8349,17.67,61,0,25,1,16.1327,514.406102,True,0.15
SOLUSDT,240,BB_20_25_ADX20,10.0,,True,0.03,0,one_shot,63,47.521673,58.945612,11.423939,28.57,35,10,25,129.535993,-82.014319,12.953599,-3.280573,20.2078,42.29,24,0,10,1,8.0221,547.521673,True,0.11
SOLUSDT,240,BB_20_25_ADX25,10.0,,True,0.03,0,one_shot,53,105.110801,114.985982,9.875182,30.0,30,9,21,174.889301,-69.7785,19.432145,-3.322786,14.6025,48.97,21,0,8,1,8.1513,605.110801,True,0.14
SOLUSDT,240,BB_20_25_EMA100,10.0,,True,0.03,0,one_shot,60,78.683424,88.523403,9.839979,26.67,30,8,22,149.412719,-70.729295,18.67659,-3.214968,14.6859,52.33,21,0,8,1,11.2905,578.683424,True,0.13
SOLUSDT,240,BB_20_25_EMA200,10.0,,True,0.03,0,one_shot,54,68.203338,76.399109,8.195771,28.0,25,7,18,125.634633,-57.431295,17.947805,-3.190628,15.094,64.4,17,0,7,1,11.0818,568.203338,True,0.18
