symbol,interval,strategy,activate_pct,trail_pct,no_trail,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,230,-35.272469,32.287044,67.559513,26.07,211,55,156,362.304888,-397.577357,6.587362,-2.548573,27.8961,8.58,92,0,118,1,20.4311,464.727531,True,0.09
SOLUSDT,60,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,890,-191.275378,84.98896,276.264338,27.35,863,236,627,778.45652,-969.731898,3.298545,-1.546622,31.9209,9.97,97,0,765,1,49.0446,308.724622,True,0.28
ETHUSDT,240,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,241,16.685108,86.76947,70.084362,29.68,219,65,154,324.433561,-307.748453,4.991286,-1.998367,28.5904,9.33,53,0,165,1,8.9775,516.685108,True,0.09
ETHUSDT,60,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,942,-249.413387,35.074894,284.488281,25.08,889,223,666,505.953338,-755.366725,2.268849,-1.134184,33.3286,9.69,40,0,848,1,53.0264,250.586613,True,0.24
BTCUSDT,240,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,228,-59.986685,6.011211,65.997896,24.27,206,50,156,218.930706,-278.917391,4.378614,-1.787932,28.9941,10.28,38,0,167,1,19.4641,440.013315,True,0.11
BTCUSDT,60,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,954,-270.626002,10.106632,280.732634,24.17,877,212,665,383.491175,-654.117177,1.808921,-0.983635,35.2235,9.89,25,0,851,1,56.4282,229.373998,True,0.23
XRPUSDT,240,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,210,178.842083,238.073437,59.231355,23.91,184,44,140,463.136351,-284.294268,10.525826,-2.030673,16.1723,10.68,55,0,128,1,16.2589,678.842083,True,0.1
XRPUSDT,60,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,1031,-345.97922,-35.087313,310.891907,22.86,971,222,749,679.558803,-1025.538024,3.061076,-1.36921,30.9057,8.69,109,0,861,1,71.9408,154.02078,True,0.21
DOGEUSDT,240,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,208,-51.500191,11.363054,62.863244,24.49,196,48,148,319.436852,-370.937042,6.654934,-2.506331,27.3579,8.41,88,0,107,1,26.4117,448.499809,True,0.09
DOGEUSDT,60,LORENTZIAN_raw,10.0,,True,0.03,0,one_shot,821,-130.908177,115.600795,246.508973,28.18,770,217,553,844.791549,-975.699726,3.893049,-1.764376,31.1869,10.88,150,0,619,1,36.4402,369.091823,True,0.25
