group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
catalog,SOLUSDT,240,EMA_8_21,0,0.03,-401.682394,-302.805291,98.877104,28.16,309,128,80.3669,98.317606,False,0.27
catalog,SOLUSDT,240,EMA_8_21,5,0.03,-403.129823,-310.33055,92.799273,28.28,290,136,80.6514,96.870177,False,0.22
catalog,SOLUSDT,240,EMA_8_21,10,0.03,-403.071366,-317.297804,85.773562,26.87,268,125,80.6143,96.928634,False,0.22
catalog,SOLUSDT,240,EMA_8_21,20,0.03,-257.130059,-198.917323,58.212737,28.02,182,82,51.426,242.869941,True,0.19
catalog,SOLUSDT,240,EMA_8_21,50,0.03,-142.872518,-115.682571,27.189947,20.0,85,42,28.5745,357.127482,True,0.1
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,0,0.03,-400.569136,-307.441857,93.127279,27.84,291,134,80.2793,99.430864,False,0.11
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,5,0.03,-400.570131,-311.316805,89.253326,27.6,279,135,80.114,99.429869,False,0.22
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,10,0.03,-345.109016,-271.834173,73.274844,26.64,229,115,69.0218,154.890984,True,0.25
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,20,0.03,-225.79706,-172.349426,53.447635,30.54,167,77,45.1594,274.20294,True,0.28
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,50,0.03,-117.265846,-94.886752,22.379094,28.57,70,40,23.4532,382.734154,True,0.22
catalog,SOLUSDT,240,RSI14_7030,0,0.03,-401.412376,-313.384763,88.027612,25.82,275,136,80.3369,98.587624,False,0.43
catalog,SOLUSDT,240,RSI14_7030,5,0.03,-210.318855,-162.645205,47.67365,28.19,149,76,42.2971,289.681145,True,0.27
catalog,SOLUSDT,240,RSI14_7030,10,0.03,-201.230967,-163.478072,37.752894,21.19,118,67,40.411,298.769033,True,0.18
catalog,SOLUSDT,240,RSI14_7030,20,0.03,-142.566008,-113.154277,29.411731,26.09,92,50,28.7839,357.433992,True,0.28
catalog,SOLUSDT,240,RSI14_7030,50,0.03,-91.36854,-72.507974,18.860566,22.03,59,30,18.4991,408.63146,True,0.27
catalog,SOLUSDT,240,MACD_12_26_hist,0,0.03,-400.536178,-308.022453,92.513725,24.57,289,118,80.138,99.463822,False,0.46
