group,symbol,interval,strategy,cooldown_candles,max_sl_pct,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,SOLUSDT,240,LORENTZIAN_default,0,0.03,-401.977174,-306.254323,95.722851,28.43,299,131,80.4789,98.022826,False,4.3
lorentzian,SOLUSDT,240,LORENTZIAN_default,5,0.03,-401.894526,-321.50504,80.389486,23.51,251,127,80.4625,98.105474,False,0.08
lorentzian,SOLUSDT,240,LORENTZIAN_default,10,0.03,-359.563025,-276.301818,83.261207,27.69,260,117,72.0322,140.436975,True,0.13
lorentzian,SOLUSDT,240,LORENTZIAN_default,20,0.03,-237.455562,-184.311136,53.144426,25.9,166,75,47.7147,262.544438,True,0.11
lorentzian,SOLUSDT,240,LORENTZIAN_default,50,0.03,-117.409648,-91.827318,25.58233,25.0,80,38,23.8078,382.590352,True,0.11
lorentzian,SOLUSDT,240,LORENTZIAN_raw,0,0.03,-400.704621,-306.702831,94.00179,23.47,294,115,80.1409,99.295379,False,0.12
lorentzian,SOLUSDT,240,LORENTZIAN_raw,5,0.03,-400.989019,-305.058313,95.930706,27.33,300,121,80.2414,99.010981,False,0.19
lorentzian,SOLUSDT,240,LORENTZIAN_raw,10,0.03,-402.10234,-305.842244,96.260096,26.58,301,119,80.4205,97.89766,False,0.09
lorentzian,SOLUSDT,240,LORENTZIAN_raw,20,0.03,-271.556343,-208.238304,63.318039,28.28,198,79,54.3113,228.443657,True,0.12
lorentzian,SOLUSDT,240,LORENTZIAN_raw,50,0.03,-148.386688,-117.059864,31.326824,23.47,98,39,29.6773,351.613312,True,0.09
lorentzian,SOLUSDT,60,LORENTZIAN_default,0,0.03,-400.218676,-299.033447,101.185229,34.81,316,144,80.0979,99.781324,False,6.63
lorentzian,SOLUSDT,60,LORENTZIAN_default,5,0.03,-400.086656,-281.58273,118.503926,37.57,370,143,80.23,99.913344,False,0.26
lorentzian,SOLUSDT,60,LORENTZIAN_default,10,0.03,-400.97277,-279.315528,121.657242,37.11,380,134,80.2483,99.02723,False,0.39
lorentzian,SOLUSDT,60,LORENTZIAN_default,20,0.03,-401.14863,-270.853874,130.294756,37.35,407,134,80.3002,98.85137,False,0.45
lorentzian,SOLUSDT,60,LORENTZIAN_default,50,0.03,-297.94071,-191.950288,105.990423,39.58,331,106,59.6979,202.05929,True,0.22
lorentzian,SOLUSDT,60,LORENTZIAN_raw,0,0.03,-400.633007,-270.633952,129.999054,30.05,406,104,80.344,99.366993,False,0.35
lorentzian,SOLUSDT,60,LORENTZIAN_raw,5,0.03,-400.532035,-252.005102,148.526933,29.53,464,83,80.324,99.467965,False,0.3
lorentzian,SOLUSDT,60,LORENTZIAN_raw,10,0.03,-401.355911,-244.220034,157.135877,28.51,491,70,80.487,98.644089,False,0.25
lorentzian,SOLUSDT,60,LORENTZIAN_raw,20,0.03,-400.23988,-242.120509,158.119372,27.94,494,69,80.2662,99.76012,False,0.26
