group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,sum_wins,n_wins,sum_losses,n_losses,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
donchian,SOLUSDT,240,DONCHIAN_20,none,0,0.03,47,-400.851986,-305.820905,95.031081,29.29,297,138,86.402009,87,-487.253995,210,2.19,138,157,2,0,80.2559,99.148014,False,0.23
donchian,SOLUSDT,240,DONCHIAN_20,one_shot,0,0.03,47,-49.132524,-34.392608,14.739916,41.3,46,21,22.879826,19,-72.01235,27,3.17,21,25,0,0,10.1381,450.867476,True,0.16
donchian,SOLUSDT,240,DONCHIAN_55,none,0,0.03,20,-401.940218,-315.062052,86.878166,25.74,272,134,70.131154,70,-472.071372,202,2.2,134,138,0,0,80.388,98.059782,False,0.26
donchian,SOLUSDT,240,DONCHIAN_55,one_shot,0,0.03,20,-26.474042,-20.063104,6.410938,35.0,20,8,2.411994,7,-28.886036,13,2.85,8,12,0,0,5.5007,473.525958,True,0.18
donchian,SOLUSDT,240,DONCHIAN_PULLBACK_20,none,0,0.03,34,-400.751409,-310.144566,90.606843,29.33,283,140,90.376787,83,-491.128196,200,2.47,140,142,1,0,80.1503,99.248591,False,0.1
donchian,SOLUSDT,240,DONCHIAN_PULLBACK_20,one_shot,0,0.03,34,-25.880813,-14.987313,10.8935,47.06,34,12,17.200218,16,-43.081031,18,3.74,12,22,0,0,5.8264,474.119187,True,0.09
donchian,SOLUSDT,240,DONCHIAN_PULLBACK_55,none,0,0.03,14,-401.585479,-315.011485,86.573995,25.09,271,133,71.915171,68,-473.50065,203,2.51,133,138,0,0,80.3851,98.414521,False,0.1
donchian,SOLUSDT,240,DONCHIAN_PULLBACK_55,one_shot,0,0.03,14,-24.532566,-20.044259,4.488307,28.57,14,8,2.851879,4,-27.384445,10,3.86,8,6,0,0,5.6706,475.467434,True,0.09
harness_control,SOLUSDT,240,EMA_8_21,none,0,0.03,111,-401.682394,-302.805291,98.877104,28.16,309,128,83.382093,87,-485.064488,222,2.09,128,158,23,0,80.3669,98.317606,False,0.13
harness_control,SOLUSDT,240,EMA_8_21,one_shot,0,0.03,111,-129.460435,-93.945355,35.51508,30.63,111,38,40.621106,34,-170.081542,77,3.27,38,58,15,0,26.3863,370.539565,True,0.09
harness_control,SOLUSDT,240,BB_20_25_breakout,none,0,0.03,67,-99.540989,-76.158015,23.382974,28.77,73,34,21.42242,21,-120.963409,52,2.7,34,39,0,0,20.0057,400.459011,True,0.09
harness_control,SOLUSDT,240,BB_20_25_breakout,one_shot,0,0.03,67,-88.935975,-67.801368,21.134607,28.79,66,31,20.010624,19,-108.946599,47,2.79,31,35,0,0,17.8872,411.064025,True,0.09
donchian,SOLUSDT,60,DONCHIAN_20,none,0,0.03,221,-401.066852,-297.055894,104.010958,36.62,325,146,143.577268,119,-544.64412,206,6.43,146,155,24,0,80.3273,98.933148,False,0.3
donchian,SOLUSDT,60,DONCHIAN_20,one_shot,0,0.03,221,-196.90423,-126.228277,70.675953,44.8,221,86,154.707882,99,-351.612113,122,14.12,86,106,28,1,40.7857,303.09577,True,0.25
donchian,SOLUSDT,60,DONCHIAN_55,none,0,0.03,77,-401.863149,-300.442293,101.420856,36.91,317,158,154.245343,117,-556.108492,200,7.09,158,152,7,0,80.3726,98.136851,False,0.53
donchian,SOLUSDT,60,DONCHIAN_55,one_shot,0,0.03,77,-76.710127,-52.056532,24.653594,40.26,77,39,55.124336,31,-131.834463,46,13.45,39,37,0,1,16.4158,423.289873,True,0.5
donchian,SOLUSDT,60,DONCHIAN_PULLBACK_20,none,0,0.03,151,-400.06486,-297.664996,102.399864,35.31,320,160,155.739321,113,-555.804181,207,9.77,160,149,11,0,80.104,99.93514,False,0.45
donchian,SOLUSDT,60,DONCHIAN_PULLBACK_20,one_shot,0,0.03,151,-152.453174,-104.509041,47.944133,43.33,150,68,85.274548,65,-237.727722,85,11.02,68,78,4,0,30.6219,347.546826,True,0.51
donchian,SOLUSDT,60,DONCHIAN_PULLBACK_55,none,0,0.03,58,-402.588029,-290.559892,112.028137,38.57,350,179,206.099897,135,-608.687926,215,10.83,179,171,0,0,80.758,97.411971,False,0.53
donchian,SOLUSDT,60,DONCHIAN_PULLBACK_55,one_shot,0,0.03,58,-49.164647,-30.631614,18.533034,44.83,58,26,39.601945,26,-88.766592,32,12.98,26,32,0,0,11.2681,450.835353,True,0.44
harness_control,SOLUSDT,60,EMA_8_21,none,0,0.03,450,-403.235859,-291.498404,111.737455,33.24,349,123,139.536927,116,-542.772786,233,5.65,123,149,77,0,80.7331,96.764141,False,0.48
