symbol,interval,strategy,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered,promotion_pass_genuine_filtered,n_months_flipped_to_zero_trade
SOLUSDT,240,DONCHIAN_55,20,5,20,15,-49.642671,-33.056171,5.0,6.67,9,8,9.2392,False,False,False,0
ETHUSDT,240,DONCHIAN_55,20,6,20,14,30.100531,19.333459,30.0,28.57,4,6,5.3184,False,False,False,0
BTCUSDT,240,DONCHIAN_55,18,7,18,11,11.051945,9.871092,22.22,9.09,6,7,7.1,False,False,False,0
XRPUSDT,240,DONCHIAN_55,24,7,24,17,225.093446,233.563048,12.5,11.76,8,9,19.4438,False,False,False,0
DOGEUSDT,240,DONCHIAN_55,18,7,18,11,-22.07782,-4.448046,16.67,18.18,7,7,6.8829,False,False,False,0
SOLUSDT,240,BB_20_25_breakout,67,42,38,18,15.274984,-16.797003,26.32,22.22,6,9,7.6629,False,False,False,0
ETHUSDT,240,BB_20_25_breakout,66,41,37,21,60.729212,24.945538,37.84,33.33,4,6,7.7251,False,False,False,0
BTCUSDT,240,BB_20_25_breakout,68,46,39,19,23.122836,23.327228,28.21,31.58,6,4,4.3176,False,False,False,1
XRPUSDT,240,BB_20_25_breakout,74,52,47,19,223.309155,273.043323,12.77,15.79,6,7,14.7853,False,False,False,1
DOGEUSDT,240,BB_20_25_breakout,64,41,35,18,109.096583,115.88429,20.0,27.78,7,7,12.4379,False,False,False,0
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,7,14,7,-13.746762,6.182238,7.14,14.29,8,5,9.5189,False,False,False,3
ETHUSDT,240,DONCHIAN_PULLBACK_55,14,6,12,7,-11.361243,5.252257,8.33,14.29,8,8,5.7389,False,False,False,0
BTCUSDT,240,DONCHIAN_PULLBACK_55,12,8,11,4,56.429229,0.325683,36.36,25.0,5,3,4.3271,False,False,False,3
XRPUSDT,240,DONCHIAN_PULLBACK_55,21,11,21,10,-11.237264,-17.722275,14.29,10.0,7,5,6.0043,False,False,False,2
DOGEUSDT,240,DONCHIAN_PULLBACK_55,14,9,14,5,235.661082,-16.6045,14.29,0.0,8,5,3.3209,False,False,False,3
SOLUSDT,60,DONCHIAN_55,77,27,77,50,38.138406,71.180222,31.17,36.0,7,5,7.9695,False,False,False,0
ETHUSDT,60,DONCHIAN_55,78,21,78,57,-14.108667,16.681266,29.49,33.33,7,8,7.3748,False,False,False,0
BTCUSDT,60,DONCHIAN_55,76,33,76,43,10.888091,27.350311,34.21,32.56,8,6,5.981,False,False,False,0
XRPUSDT,60,DONCHIAN_55,76,26,76,50,156.512601,180.422336,22.37,26.0,7,7,9.1686,False,False,False,0
DOGEUSDT,60,DONCHIAN_55,69,19,69,50,197.914664,43.257886,33.33,32.0,2,5,7.616,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,241,138,136,72,-83.01315,28.96374,21.32,26.39,8,7,12.9756,False,False,False,0
ETHUSDT,60,BB_20_25_breakout,292,163,111,75,70.89605,58.217975,37.84,40.0,3,3,7.601,False,False,False,0
BTCUSDT,60,BB_20_25_breakout,288,168,134,74,-52.420319,4.259617,29.85,40.54,7,7,8.909,False,False,False,0
XRPUSDT,60,BB_20_25_breakout,292,182,140,68,143.074097,148.243846,22.14,20.59,5,6,12.1369,False,False,False,0
DOGEUSDT,60,BB_20_25_breakout,270,147,152,86,-22.2282,-35.000079,21.71,24.42,6,6,14.9174,False,False,False,0
SOLUSDT,60,DONCHIAN_PULLBACK_55,58,29,54,27,-38.373847,-1.393418,18.52,14.81,7,8,11.3679,False,False,False,0
ETHUSDT,60,DONCHIAN_PULLBACK_55,65,24,64,41,-75.703214,-48.151618,18.75,17.07,9,9,14.2392,False,False,False,0
BTCUSDT,60,DONCHIAN_PULLBACK_55,61,26,52,28,-9.852288,0.62154,30.77,32.14,7,8,5.5364,False,False,False,0
XRPUSDT,60,DONCHIAN_PULLBACK_55,59,35,58,24,126.440507,-16.727486,22.41,12.5,7,10,9.4012,False,False,False,0
DOGEUSDT,60,DONCHIAN_PULLBACK_55,54,26,50,25,123.667274,-4.959057,20.0,16.0,5,8,17.7697,False,False,False,1
