symbol,interval,strategy,min_agree,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered,promotion_pass_genuine_filtered,n_months_flipped_to_zero_trade
SOLUSDT,240,DONCHIAN_55,1,20,0,20,20,-49.642671,-49.642671,5.0,5.0,9,9,12.4862,False,False,False,0
SOLUSDT,240,DONCHIAN_55,2,20,5,20,15,-49.642671,-33.056171,5.0,6.67,9,8,9.2392,False,False,False,0
SOLUSDT,240,DONCHIAN_55,3,20,11,20,9,-49.642671,-13.127171,5.0,11.11,9,4,7.1344,False,False,False,3
SOLUSDT,240,DONCHIAN_55,4,20,15,20,5,-49.642671,-3.509862,5.0,20.0,9,4,4.5852,False,False,False,4
ETHUSDT,240,DONCHIAN_55,1,20,4,20,16,30.100531,12.693459,30.0,25.0,4,6,5.3835,False,False,False,0
ETHUSDT,240,DONCHIAN_55,2,20,6,20,14,30.100531,19.333459,30.0,28.57,4,6,5.3184,False,False,False,0
ETHUSDT,240,DONCHIAN_55,3,20,11,20,9,30.100531,-0.680345,30.0,22.22,4,6,4.9217,False,False,False,0
ETHUSDT,240,DONCHIAN_55,4,20,16,20,4,30.100531,15.906155,30.0,50.0,4,4,4.1846,False,False,False,1
BTCUSDT,240,DONCHIAN_55,1,18,1,18,17,11.051945,14.376445,22.22,23.53,6,6,7.0139,False,False,False,0
BTCUSDT,240,DONCHIAN_55,2,18,7,18,11,11.051945,9.871092,22.22,9.09,6,7,7.1,False,False,False,0
BTCUSDT,240,DONCHIAN_55,3,18,10,18,8,11.051945,19.835592,22.22,12.5,6,6,5.8547,False,False,False,0
BTCUSDT,240,DONCHIAN_55,4,18,15,18,3,11.051945,-9.9645,22.22,0.0,6,3,2.0263,False,False,False,3
XRPUSDT,240,DONCHIAN_55,1,24,4,24,20,225.093446,223.607548,12.5,10.0,8,9,19.964,False,False,False,0
XRPUSDT,240,DONCHIAN_55,2,24,7,24,17,225.093446,233.563048,12.5,11.76,8,9,19.4438,False,False,False,0
XRPUSDT,240,DONCHIAN_55,3,24,10,24,14,225.093446,243.527548,12.5,14.29,8,8,19.2291,False,False,False,1
XRPUSDT,240,DONCHIAN_55,4,24,17,24,7,225.093446,-5.123976,12.5,14.29,8,5,6.3103,False,False,False,3
DOGEUSDT,240,DONCHIAN_55,1,18,5,18,13,-22.07782,-11.088046,16.67,15.38,7,7,8.139,False,False,False,0
DOGEUSDT,240,DONCHIAN_55,2,18,7,18,11,-22.07782,-4.448046,16.67,18.18,7,7,6.8829,False,False,False,0
DOGEUSDT,240,DONCHIAN_55,3,18,10,18,8,-22.07782,-23.088371,16.67,12.5,7,6,6.4843,False,False,False,1
DOGEUSDT,240,DONCHIAN_55,4,18,16,18,2,-22.07782,-3.150371,16.67,50.0,7,2,4.4419,False,False,False,5
SOLUSDT,240,BB_20_25_breakout,1,67,28,38,28,15.274984,-36.266645,26.32,17.86,6,9,9.2485,False,False,False,0
SOLUSDT,240,BB_20_25_breakout,2,67,42,38,18,15.274984,-16.797003,26.32,22.22,6,9,7.6629,False,False,False,0
SOLUSDT,240,BB_20_25_breakout,3,67,53,38,11,15.274984,10.021597,26.32,27.27,6,6,6.6479,False,False,False,1
SOLUSDT,240,BB_20_25_breakout,4,67,60,38,6,15.274984,20.809506,26.32,33.33,6,5,5.3719,False,False,False,2
ETHUSDT,240,BB_20_25_breakout,1,66,25,37,31,60.729212,31.021668,37.84,32.26,4,6,8.8639,False,False,False,0
