symbol,interval,strategy,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered,promotion_pass_genuine_filtered,n_months_flipped_to_zero_trade
SOLUSDT,240,DONCHIAN_55,20,12,20,8,-49.642671,-23.2625,5.0,0.0,9,7,7.322,False,False,False,2
SOLUSDT,240,BB_20_25_breakout,67,27,38,24,15.274984,-5.933231,26.32,16.67,6,7,10.9566,False,False,False,0
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,3,14,11,-13.746762,-3.791262,7.14,9.09,8,7,9.7643,False,False,False,1
SOLUSDT,60,DONCHIAN_55,77,56,77,21,38.138406,-18.844643,31.17,14.29,7,8,10.7319,False,False,False,0
SOLUSDT,60,BB_20_25_breakout,241,98,136,80,-83.01315,-82.864816,21.32,20.0,8,10,25.9007,False,False,False,0
SOLUSDT,60,DONCHIAN_PULLBACK_55,58,16,54,38,-38.373847,-45.229203,18.52,13.16,7,8,16.1024,False,False,False,0
ETHUSDT,240,DONCHIAN_55,20,16,20,4,30.100531,-2.804693,30.0,25.0,4,4,5.7887,False,False,False,2
ETHUSDT,240,BB_20_25_breakout,66,33,37,19,60.729212,24.538875,37.84,26.32,4,6,4.8142,False,False,False,1
ETHUSDT,240,DONCHIAN_PULLBACK_55,14,4,12,9,-11.361243,-6.350411,8.33,11.11,8,8,6.4589,False,False,False,0
ETHUSDT,60,DONCHIAN_55,78,56,78,22,-14.108667,-14.891586,29.49,27.27,7,7,6.3975,False,False,False,1
ETHUSDT,60,BB_20_25_breakout,292,134,111,67,70.89605,-10.568348,37.84,34.33,3,7,9.9295,False,False,False,0
ETHUSDT,60,DONCHIAN_PULLBACK_55,65,25,64,39,-75.703214,-81.43855,18.75,15.38,9,9,18.3664,False,False,False,0
BTCUSDT,240,DONCHIAN_55,18,10,18,8,11.051945,32.135567,22.22,25.0,6,4,5.364,False,False,False,2
BTCUSDT,240,BB_20_25_breakout,68,31,39,25,23.122836,3.580329,28.21,24.0,6,7,7.9146,False,False,False,0
BTCUSDT,240,DONCHIAN_PULLBACK_55,12,4,11,7,56.429229,45.399905,36.36,28.57,5,5,5.6979,False,False,False,0
BTCUSDT,60,DONCHIAN_55,76,53,76,23,10.888091,-22.02976,34.21,30.43,8,7,5.7574,False,False,False,0
BTCUSDT,60,BB_20_25_breakout,288,122,134,74,-52.420319,-24.080243,29.85,32.43,7,6,10.0277,False,False,False,0
BTCUSDT,60,DONCHIAN_PULLBACK_55,61,17,52,36,-9.852288,-18.600091,30.77,25.0,7,7,6.364,False,False,False,0
XRPUSDT,240,DONCHIAN_55,24,15,24,9,225.093446,-10.195385,12.5,11.11,8,7,7.3,False,False,False,2
XRPUSDT,240,BB_20_25_breakout,74,34,47,24,223.309155,250.469658,12.77,16.67,6,8,14.3927,False,False,False,0
XRPUSDT,240,DONCHIAN_PULLBACK_55,21,9,21,12,-11.237264,6.467011,14.29,16.67,7,8,7.6452,False,False,False,0
XRPUSDT,60,DONCHIAN_55,76,53,76,23,156.512601,12.471581,22.37,17.39,7,8,9.4205,False,False,False,0
XRPUSDT,60,BB_20_25_breakout,292,122,140,79,143.074097,152.661155,22.14,16.46,5,7,16.9616,False,False,False,0
XRPUSDT,60,DONCHIAN_PULLBACK_55,59,24,58,35,126.440507,116.129982,22.41,14.29,7,8,12.0431,False,False,False,0
DOGEUSDT,240,DONCHIAN_55,18,12,18,6,-22.07782,-16.6135,16.67,0.0,7,5,4.2104,False,False,False,2
DOGEUSDT,240,BB_20_25_breakout,64,22,35,23,109.096583,108.920883,20.0,21.74,7,8,15.0201,False,False,False,0
DOGEUSDT,240,DONCHIAN_PULLBACK_55,14,5,14,9,235.661082,20.325018,14.29,11.11,8,7,13.14,False,False,False,1
DOGEUSDT,60,DONCHIAN_55,69,46,69,23,197.914664,28.370925,33.33,30.43,2,7,6.3887,False,False,False,0
DOGEUSDT,60,BB_20_25_breakout,270,110,152,91,-22.2282,-10.829233,21.71,24.18,6,5,21.513,False,False,False,0
DOGEUSDT,60,DONCHIAN_PULLBACK_55,54,20,50,32,123.667274,150.975094,20.0,25.0,5,6,12.8289,False,False,False,0
