symbol,interval,strategy,n_calls,n_calls_gated_out,n_trades_unfiltered,n_trades_filtered,train1_net_pnl_unfiltered,train1_net_pnl_filtered,win_rate_unfiltered,win_rate_filtered,n_neg_months_unfiltered,n_neg_months_filtered,full_run_max_drawdown_pct_filtered,promotion_pass_unfiltered,promotion_pass_filtered
SOLUSDT,240,DONCHIAN_55,20,16,20,4,-49.642671,-13.289,5.0,0.0,9,4,2.6578,False,False
SOLUSDT,240,BB_20_25_breakout,67,41,38,22,15.274984,10.827728,26.32,27.27,6,6,6.9256,False,False
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,7,14,7,-13.746762,-23.2625,7.14,0.0,8,7,8.7057,False,False
SOLUSDT,60,DONCHIAN_55,77,57,77,20,38.138406,-27.564257,31.17,30.0,7,9,6.5452,False,False
SOLUSDT,60,BB_20_25_breakout,241,125,136,82,-83.01315,3.686713,21.32,26.83,8,8,11.3521,False,False
SOLUSDT,60,DONCHIAN_PULLBACK_55,58,31,54,25,-38.373847,13.902727,18.52,28.0,7,6,7.6494,False,False
ETHUSDT,240,DONCHIAN_55,20,14,20,6,30.100531,3.449318,30.0,16.67,4,5,4.8849,False,False
ETHUSDT,240,BB_20_25_breakout,66,39,37,20,60.729212,48.495748,37.84,50.0,4,5,4.8507,False,False
ETHUSDT,240,DONCHIAN_PULLBACK_55,14,10,12,3,-11.361243,13.569589,8.33,33.33,8,4,4.2993,False,False
ETHUSDT,60,DONCHIAN_55,78,57,78,21,-14.108667,-3.553745,29.49,28.57,7,7,7.2547,False,False
ETHUSDT,60,BB_20_25_breakout,292,149,111,82,70.89605,8.969542,37.84,29.27,3,6,9.4156,False,False
ETHUSDT,60,DONCHIAN_PULLBACK_55,65,45,64,20,-75.703214,-2.669399,18.75,20.0,9,6,9.3105,False,False
BTCUSDT,240,DONCHIAN_55,18,13,18,5,11.051945,29.800092,22.22,20.0,6,4,4.6243,False,False
BTCUSDT,240,BB_20_25_breakout,68,42,39,22,23.122836,17.093404,28.21,27.27,6,5,5.7949,False,False
BTCUSDT,240,DONCHIAN_PULLBACK_55,12,9,11,3,56.429229,-6.210038,36.36,33.33,5,3,3.9854,False,False
BTCUSDT,60,DONCHIAN_55,76,54,76,22,10.888091,32.088422,34.21,40.91,8,7,4.892,False,False
BTCUSDT,60,BB_20_25_breakout,288,154,134,87,-52.420319,-41.837072,29.85,31.03,7,7,14.523,False,False
BTCUSDT,60,DONCHIAN_PULLBACK_55,61,33,52,28,-9.852288,-27.950644,30.77,25.0,7,7,9.1545,False,False
XRPUSDT,240,DONCHIAN_55,24,19,24,5,225.093446,-15.666292,12.5,0.0,8,3,3.1333,False,False
XRPUSDT,240,BB_20_25_breakout,74,38,47,26,223.309155,247.69432,12.77,7.69,6,7,16.3204,False,False
XRPUSDT,240,DONCHIAN_PULLBACK_55,21,14,21,7,-11.237264,-7.787163,14.29,14.29,7,5,5.5065,False,False
XRPUSDT,60,DONCHIAN_55,76,60,76,16,156.512601,-23.594263,22.37,18.75,7,7,6.7701,False,False
XRPUSDT,60,BB_20_25_breakout,292,138,140,95,143.074097,122.095063,22.14,23.16,5,9,15.8791,False,False
XRPUSDT,60,DONCHIAN_PULLBACK_55,59,31,58,27,126.440507,-19.269859,22.41,22.22,7,8,11.3976,False,False
DOGEUSDT,240,DONCHIAN_55,18,18,18,0,-22.07782,0.0,16.67,0.0,7,0,0.0,False,True
DOGEUSDT,240,BB_20_25_breakout,64,32,35,21,109.096583,47.973551,20.0,23.81,7,7,13.4475,False,False
DOGEUSDT,240,DONCHIAN_PULLBACK_55,14,6,14,8,235.661082,23.658518,14.29,12.5,8,3,13.14,False,False
DOGEUSDT,60,DONCHIAN_55,69,54,69,15,197.914664,18.921116,33.33,33.33,2,6,4.7805,False,False
DOGEUSDT,60,BB_20_25_breakout,270,136,152,97,-22.2282,20.882191,21.71,21.65,6,5,14.8672,False,False
DOGEUSDT,60,DONCHIAN_PULLBACK_55,54,38,50,16,123.667274,5.943687,20.0,18.75,5,7,8.9294,False,False
