arm,symbol,interval,strategy,take_profit_multiple,n_trades,train1_net_pnl,warmup_net_pnl,boundary_net_pnl,full_run_max_drawdown_pct,full_run_final_equity,n_valid_months,n_neg_months,all_valid_months_nonnegative,promotion_pass,promotion_pass_genuine,degenerate_pass,win_rate,avg_win,avg_loss,seconds
baseline,SOLUSDT,240,DONCHIAN_55,,20,-49.642671,-3.3155,0.0,12.4862,447.041829,12,9,False,False,False,False,5.0,9.788138,-3.302437,0.14
gated,SOLUSDT,240,DONCHIAN_55,2.0,20,-18.098,5.671,0.0,6.8468,487.573,12,6,False,False,False,False,30.0,5.677,-3.320643,0.1
baseline,SOLUSDT,240,BB_20_25_breakout,,38,15.274984,24.364097,0.0,9.2466,539.639081,12,6,False,False,False,False,26.3158,13.16179,-3.284958,0.1
gated,SOLUSDT,240,BB_20_25_breakout,2.0,59,3.0305,8.0265,0.0,6.8493,511.057,12,6,False,False,False,False,38.9831,5.679609,-3.3215,0.09
baseline,SOLUSDT,240,DONCHIAN_PULLBACK_55,,14,-13.746762,-3.3155,0.0,9.9565,482.937738,12,8,False,False,False,False,7.1429,26.111238,-3.321038,0.1
gated,SOLUSDT,240,DONCHIAN_PULLBACK_55,2.0,14,10.8445,-3.3155,0.0,3.6896,507.529,12,5,False,False,False,False,42.8571,5.683,-3.321125,0.1
baseline,SOLUSDT,60,DONCHIAN_55,,77,38.138406,13.830511,0.701751,12.5807,552.670669,12,7,False,False,False,False,31.1688,9.233732,-3.187527,0.23
gated,SOLUSDT,60,DONCHIAN_55,2.0,77,-15.610772,1.3775,0.701751,8.0554,486.468479,12,7,False,False,False,False,35.0649,5.556095,-3.270922,0.2
baseline,SOLUSDT,60,BB_20_25_breakout,,136,-83.01315,-9.54349,-1.19127,27.695,406.252091,12,8,False,False,False,False,21.3235,7.572911,-2.92862,0.31
gated,SOLUSDT,60,BB_20_25_breakout,2.0,187,-83.41462,-5.290997,0.0,19.5199,411.294383,12,9,False,False,False,False,31.016,5.334102,-3.085919,0.23
baseline,SOLUSDT,60,DONCHIAN_PULLBACK_55,,54,-38.373847,-7.500761,0.0,16.7367,454.125392,12,7,False,False,False,False,18.5185,10.019639,-3.319795,0.27
gated,SOLUSDT,60,DONCHIAN_PULLBACK_55,2.0,58,-8.2035,4.72,0.0,6.3037,496.5165,12,9,False,False,False,False,36.2069,5.683,-3.319635,0.21
