symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,EMA_8_21,0.03,-401.682394,28.16,309,80.3669,98.317606,False,0.21
SOLUSDT,240,EMA_13_34_RSI14_55,0.03,-400.569136,27.84,291,80.2793,99.430864,False,0.16
SOLUSDT,240,RSI14_7030,0.03,-401.412376,25.82,275,80.3369,98.587624,False,0.16
SOLUSDT,240,MACD_12_26_hist,0.03,-400.536178,24.57,289,80.138,99.463822,False,0.18
SOLUSDT,240,MACD_RSI14_50,0.03,-400.431346,25.0,272,80.1266,99.568654,False,0.17
SOLUSDT,240,BB_20_25_breakout,0.03,-99.540989,28.77,73,20.0057,400.459011,True,0.13
SOLUSDT,240,BB_20_2_RSI14,0.03,-261.846536,22.4,183,52.3693,238.153464,True,0.22
SOLUSDT,240,ADX14_DI_20,0.03,-400.012393,23.76,282,80.1525,99.987607,False,0.17
SOLUSDT,240,STOCH14_cross,0.03,-401.400232,14.7,313,80.28,98.599768,False,0.16
SOLUSDT,240,TS_13_34_200_14,0.03,-401.857155,24.54,269,80.4112,98.142845,False,0.2
SOLUSDT,240,LORENTZIAN_default,0.03,-401.977174,28.43,299,80.4789,98.022826,False,0.16
SOLUSDT,240,LORENTZIAN_raw,0.03,-400.704621,23.47,294,80.1409,99.295379,False,0.18
SOLUSDT,60,EMA_8_21,0.03,-403.235859,33.24,349,80.7331,96.764141,False,0.21
SOLUSDT,60,EMA_13_34_RSI14_55,0.03,-400.792551,39.55,354,80.3408,99.207449,False,0.23
SOLUSDT,60,RSI14_7030,0.03,-400.198575,45.14,432,80.1196,99.801425,False,0.16
SOLUSDT,60,MACD_12_26_hist,0.03,-400.834314,29.38,371,80.1992,99.165686,False,0.21
SOLUSDT,60,MACD_RSI14_50,0.03,-402.414886,32.45,379,80.5328,97.585114,False,0.25
SOLUSDT,60,BB_20_25_breakout,0.03,-243.216015,40.35,228,48.8904,256.783985,True,0.28
SOLUSDT,60,BB_20_2_RSI14,0.03,-401.158161,37.98,366,80.3454,98.841839,False,0.16
SOLUSDT,60,ADX14_DI_20,0.03,-400.184141,27.3,370,80.0368,99.815859,False,0.2
SOLUSDT,60,STOCH14_cross,0.03,-400.558451,22.65,627,80.1692,99.441549,False,0.26
SOLUSDT,60,TS_13_34_200_14,0.03,-400.881691,40.56,355,80.3585,99.118309,False,0.17
SOLUSDT,60,LORENTZIAN_default,0.03,-400.218676,34.81,316,80.0979,99.781324,False,0.21
SOLUSDT,60,LORENTZIAN_raw,0.03,-400.633007,30.05,406,80.344,99.366993,False,0.21
ETHUSDT,240,EMA_8_21,0.03,-401.690156,32.35,371,80.5663,98.309844,False,0.11
ETHUSDT,240,EMA_13_34_RSI14_55,0.03,-402.087532,33.44,323,81.0417,97.912468,False,0.08
ETHUSDT,240,RSI14_7030,0.03,-332.290085,29.95,207,66.6212,167.709915,True,0.06
ETHUSDT,240,MACD_12_26_hist,0.03,-402.759326,27.89,380,80.5519,97.240674,False,0.07
ETHUSDT,240,MACD_RSI14_50,0.03,-400.615532,30.52,344,80.1231,99.384468,False,0.07
ETHUSDT,240,BB_20_25_breakout,0.03,-89.047947,30.67,75,19.1327,410.952053,True,0.06
ETHUSDT,240,BB_20_2_RSI14,0.03,-239.401532,25.73,171,48.939,260.598468,True,0.06
ETHUSDT,240,ADX14_DI_20,0.03,-400.124519,29.64,388,80.0249,99.875481,False,0.08
ETHUSDT,240,STOCH14_cross,0.03,-400.558937,24.02,562,80.1652,99.441063,False,0.09
ETHUSDT,240,TS_13_34_200_14,0.03,-401.445213,32.14,308,80.9686,98.554787,False,0.2
ETHUSDT,240,LORENTZIAN_default,0.03,-402.156712,29.14,302,80.6567,97.843288,False,0.08
ETHUSDT,240,LORENTZIAN_raw,0.03,-402.609479,26.77,396,80.6136,97.390521,False,0.1
ETHUSDT,60,EMA_8_21,0.03,-400.61696,28.95,532,80.1302,99.38304,False,0.21
ETHUSDT,60,EMA_13_34_RSI14_55,0.03,-400.98594,36.73,471,80.2919,99.01406,False,0.22
ETHUSDT,60,RSI14_7030,0.03,-403.218545,45.96,446,80.7358,96.781455,False,0.17
ETHUSDT,60,MACD_12_26_hist,0.03,-401.805749,30.72,625,80.3679,98.194251,False,0.28
ETHUSDT,60,MACD_RSI14_50,0.03,-400.573758,31.4,570,80.1538,99.426242,False,0.24
ETHUSDT,60,BB_20_25_breakout,0.03,-148.326733,44.39,223,30.3585,351.673267,True,0.19
ETHUSDT,60,BB_20_2_RSI14,0.03,-390.450756,35.71,392,78.1371,109.549244,True,0.18
ETHUSDT,60,ADX14_DI_20,0.03,-401.545638,27.09,646,80.3159,98.454362,False,0.21
ETHUSDT,60,STOCH14_cross,0.03,-401.956529,20.73,873,80.4395,98.043471,False,0.32
ETHUSDT,60,TS_13_34_200_14,0.03,-402.866323,39.61,414,80.6497,97.133677,False,0.17
ETHUSDT,60,LORENTZIAN_default,0.03,-402.357834,34.78,460,80.671,97.642166,False,0.22
ETHUSDT,60,LORENTZIAN_raw,0.03,-400.010404,27.85,711,80.0802,99.989596,False,0.25
BTCUSDT,240,EMA_8_21,0.03,-376.382001,33.14,350,75.3892,123.617999,True,0.08
BTCUSDT,240,EMA_13_34_RSI14_55,0.03,-278.787942,35.77,246,56.5128,221.212058,True,0.07
BTCUSDT,240,RSI14_7030,0.03,-251.112984,33.89,180,50.7473,248.887016,True,0.06
BTCUSDT,240,MACD_12_26_hist,0.03,-401.699564,30.08,389,80.3399,98.300436,False,0.07
BTCUSDT,240,MACD_RSI14_50,0.03,-347.165003,32.63,331,70.0185,152.834997,True,0.07
BTCUSDT,240,BB_20_25_breakout,0.03,-89.900174,35.14,74,18.0694,410.099826,True,0.06
BTCUSDT,240,BB_20_2_RSI14,0.03,-177.921374,33.33,141,35.8587,322.078626,True,0.1
BTCUSDT,240,ADX14_DI_20,0.03,-400.129644,26.27,373,80.2478,99.870356,False,0.07
BTCUSDT,240,STOCH14_cross,0.03,-400.360592,24.92,614,80.1166,99.639408,False,0.09
BTCUSDT,240,TS_13_34_200_14,0.03,-228.531232,37.5,208,46.902,271.468768,True,0.07
BTCUSDT,240,LORENTZIAN_default,0.03,-301.675963,36.46,288,60.5754,198.324037,True,0.07
BTCUSDT,240,LORENTZIAN_raw,0.03,-400.620171,27.79,385,80.2863,99.379829,False,0.12
BTCUSDT,60,EMA_8_21,0.03,-400.288485,28.07,659,80.2905,99.711515,False,0.23
BTCUSDT,60,EMA_13_34_RSI14_55,0.03,-301.75602,34.84,419,61.4241,198.24398,True,0.18
BTCUSDT,60,RSI14_7030,0.03,-232.78869,51.78,394,48.5381,267.21131,True,0.23
BTCUSDT,60,MACD_12_26_hist,0.03,-402.571695,29.67,738,80.7231,97.428305,False,0.26
BTCUSDT,60,MACD_RSI14_50,0.03,-378.082996,32.4,716,75.7893,121.917004,True,0.19
BTCUSDT,60,BB_20_25_breakout,0.03,-151.823283,40.49,205,32.0932,348.176717,True,0.16
BTCUSDT,60,BB_20_2_RSI14,0.03,-248.407913,35.24,332,51.7156,251.592087,True,0.26
BTCUSDT,60,ADX14_DI_20,0.03,-400.605109,24.03,770,80.236,99.394891,False,0.23
BTCUSDT,60,STOCH14_cross,0.03,-400.380495,20.02,959,80.2143,99.619505,False,0.32
BTCUSDT,60,TS_13_34_200_14,0.03,-217.735284,41.51,318,45.0095,282.264716,True,0.2
BTCUSDT,60,LORENTZIAN_default,0.03,-335.315875,33.4,476,67.4758,164.684125,True,0.19
BTCUSDT,60,LORENTZIAN_raw,0.03,-400.344591,25.1,777,80.1522,99.655409,False,0.27
XRPUSDT,240,EMA_8_21,0.03,-400.120743,27.6,337,80.0241,99.879257,False,0.07
XRPUSDT,240,EMA_13_34_RSI14_55,0.03,-403.199157,26.81,317,80.6923,96.800843,False,0.1
XRPUSDT,240,RSI14_7030,0.03,-403.129634,22.48,258,80.6741,96.870366,False,0.08
XRPUSDT,240,MACD_12_26_hist,0.03,-400.747198,25.32,308,80.1494,99.252802,False,0.08
XRPUSDT,240,MACD_RSI14_50,0.03,-400.399971,25.64,351,80.0891,99.600029,False,0.1
XRPUSDT,240,BB_20_25_breakout,0.03,-121.522803,18.68,91,25.1817,378.477197,True,0.07
XRPUSDT,240,BB_20_2_RSI14,0.03,-232.127262,18.89,180,46.5579,267.872738,True,0.07
XRPUSDT,240,ADX14_DI_20,0.03,-400.714233,24.77,323,80.2194,99.285767,False,0.08
XRPUSDT,240,STOCH14_cross,0.03,-400.418232,22.2,509,80.1279,99.581768,False,0.13
XRPUSDT,240,TS_13_34_200_14,0.03,-402.333832,24.67,300,80.5197,97.666168,False,0.09
XRPUSDT,240,LORENTZIAN_default,0.03,-403.273764,26.2,313,80.8812,96.726236,False,0.08
XRPUSDT,240,LORENTZIAN_raw,0.03,-401.836653,27.25,378,80.3673,98.163347,False,0.08
XRPUSDT,60,EMA_8_21,0.03,-402.424903,28.0,425,80.6728,97.575097,False,0.2
XRPUSDT,60,EMA_13_34_RSI14_55,0.03,-401.621522,30.96,394,80.3568,98.378478,False,0.22
XRPUSDT,60,RSI14_7030,0.03,-402.301395,39.57,374,80.5457,97.698605,False,0.23
XRPUSDT,60,MACD_12_26_hist,0.03,-402.564007,25.0,488,80.6136,97.435993,False,0.51
XRPUSDT,60,MACD_RSI14_50,0.03,-402.160476,27.78,450,80.4644,97.839524,False,0.31
XRPUSDT,60,BB_20_25_breakout,0.03,-317.164318,31.78,258,63.7706,182.835682,True,0.21
XRPUSDT,60,BB_20_2_RSI14,0.03,-402.647099,28.93,363,80.5619,97.352901,False,0.21
XRPUSDT,60,ADX14_DI_20,0.03,-400.465765,25.14,529,80.2198,99.534235,False,0.35
XRPUSDT,60,STOCH14_cross,0.03,-400.248426,23.03,851,80.1416,99.751574,False,0.42
XRPUSDT,60,TS_13_34_200_14,0.03,-400.819998,34.39,378,80.2995,99.180002,False,0.27
XRPUSDT,60,LORENTZIAN_default,0.03,-400.652581,31.93,357,80.2357,99.347419,False,0.35
XRPUSDT,60,LORENTZIAN_raw,0.03,-401.977614,20.68,503,80.4465,98.022386,False,0.3
DOGEUSDT,240,EMA_8_21,0.03,-403.157333,17.79,298,80.6315,96.842667,False,0.14
DOGEUSDT,240,EMA_13_34_RSI14_55,0.03,-402.836143,18.48,276,80.5914,97.163857,False,0.08
