symbol,interval,strategy,n_trades_baseline,n_trades_gated,train1_net_pnl_baseline,train1_net_pnl_gated,full_run_max_drawdown_pct_baseline,full_run_max_drawdown_pct_gated,n_negative_months_baseline,n_negative_months_gated,win_rate_pct_baseline,win_rate_pct_gated,n_wins_baseline,n_wins_gated,promotion_pass_baseline,promotion_pass_gated,promotion_pass_genuine_gated,degenerate_pass_gated,elapsed_seconds
SOLUSDT,240,DONCHIAN_55,20,15,-49.642671,-33.020171,12.4862,9.2322,9,8,5.0,6.666666666666667,1,1,False,False,False,False,0.231
SOLUSDT,240,BB_20_25_breakout,38,22,15.274984,-1.896658,9.2466,8.392,6,8,26.31578947368421,27.27272727272727,10,6,False,False,False,False,0.267
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,11,-13.746762,-3.791262,9.9565,9.7643,8,8,7.142857142857142,9.090909090909092,1,1,False,False,False,False,0.268
ETHUSDT,240,DONCHIAN_55,20,14,30.100531,50.047531,7.2196,6.0496,4,4,30.0,42.857142857142854,6,6,False,False,False,False,0.338
ETHUSDT,240,BB_20_25_breakout,37,25,60.729212,32.608606,5.4277,8.0815,4,9,37.83783783783784,28.000000000000004,14,7,False,False,False,False,0.454
ETHUSDT,240,DONCHIAN_PULLBACK_55,12,11,-11.361243,-8.045743,7.1306,6.4862,8,8,8.333333333333332,9.090909090909092,1,1,False,False,False,False,0.402
BTCUSDT,240,DONCHIAN_55,18,13,11.051945,-18.748147,7.6017,8.1879,6,7,22.22222222222222,23.076923076923077,4,3,False,False,False,False,0.454
BTCUSDT,240,BB_20_25_breakout,39,23,23.122836,17.048472,6.037,4.1913,6,7,28.205128205128204,26.08695652173913,11,6,False,False,False,False,0.405
BTCUSDT,240,DONCHIAN_PULLBACK_55,11,11,56.429229,56.429229,6.8411,6.8411,5,5,36.36363636363637,36.36363636363637,4,4,False,False,False,False,0.417
XRPUSDT,240,DONCHIAN_55,24,16,225.093446,-47.288701,20.2287,12.2984,8,10,12.5,0.0,3,0,False,False,False,False,0.44
XRPUSDT,240,BB_20_25_breakout,47,24,223.309155,223.360091,18.1838,15.8979,6,9,12.76595744680851,8.333333333333332,6,2,False,False,False,False,0.396
XRPUSDT,240,DONCHIAN_PULLBACK_55,21,17,-11.237264,-25.509438,12.1327,10.0609,7,7,14.285714285714285,11.76470588235294,3,2,False,False,False,False,0.43
DOGEUSDT,240,DONCHIAN_55,18,15,-22.07782,-12.10432,9.0758,7.7527,7,7,16.666666666666664,20.0,3,3,False,False,False,False,0.415
DOGEUSDT,240,BB_20_25_breakout,35,27,109.096583,13.773836,17.3456,19.7381,7,9,20.0,11.11111111111111,7,3,False,False,False,False,0.402
DOGEUSDT,240,DONCHIAN_PULLBACK_55,14,12,235.661082,10.360518,21.582,13.4601,8,8,14.285714285714285,8.333333333333332,2,1,False,False,False,False,0.397
SOLUSDT,60,DONCHIAN_55,77,54,38.138406,78.152808,12.5807,6.7636,7,5,31.16883116883117,37.03703703703704,24,20,False,False,False,False,0.966
SOLUSDT,60,BB_20_25_breakout,136,86,-83.01315,-32.62513,27.695,20.7487,8,8,21.323529411764707,22.093023255813954,29,19,False,False,False,False,0.766
SOLUSDT,60,DONCHIAN_PULLBACK_55,54,45,-38.373847,-23.471924,16.7367,13.0585,7,7,18.51851851851852,20.0,10,9,False,False,False,False,0.912
ETHUSDT,60,DONCHIAN_55,78,51,-14.108667,-8.313286,11.2137,9.348,7,7,29.48717948717949,33.33333333333333,23,17,False,False,False,False,0.924
ETHUSDT,60,BB_20_25_breakout,111,76,70.89605,-22.643546,10.1937,13.9006,3,8,37.83783783783784,25.0,42,19,False,False,False,False,0.723
ETHUSDT,60,DONCHIAN_PULLBACK_55,64,50,-75.703214,-73.57375,18.9801,17.0584,9,10,18.75,18.0,12,9,False,False,False,False,0.575
BTCUSDT,60,DONCHIAN_55,76,49,10.888091,19.715947,6.7252,4.807,8,8,34.21052631578947,36.734693877551024,26,18,False,False,False,False,0.504
BTCUSDT,60,BB_20_25_breakout,134,84,-52.420319,-25.349191,15.1734,10.6496,7,8,29.850746268656714,34.523809523809526,40,29,False,False,False,False,0.558
BTCUSDT,60,DONCHIAN_PULLBACK_55,52,39,-9.852288,-31.82012,9.0451,8.0696,7,9,30.76923076923077,28.205128205128204,16,11,False,False,False,False,0.566
XRPUSDT,60,DONCHIAN_55,76,51,156.512601,187.061719,12.5312,9.0213,7,7,22.36842105263158,23.52941176470588,17,12,False,False,False,False,0.516
XRPUSDT,60,BB_20_25_breakout,140,82,143.074097,107.092531,20.8088,12.7286,5,9,22.142857142857142,24.390243902439025,31,20,False,False,False,False,0.579
XRPUSDT,60,DONCHIAN_PULLBACK_55,58,48,126.440507,126.6194,11.2317,10.8315,7,8,22.413793103448278,18.75,13,9,False,False,False,False,0.556
DOGEUSDT,60,DONCHIAN_55,69,52,197.914664,168.817067,10.1347,9.1686,2,4,33.33333333333333,34.61538461538461,23,18,False,False,False,False,0.408
DOGEUSDT,60,BB_20_25_breakout,152,90,-22.2282,65.478642,19.7827,10.3941,6,5,21.710526315789476,26.666666666666668,33,24,False,False,False,False,0.412
DOGEUSDT,60,DONCHIAN_PULLBACK_55,50,42,123.667274,56.058819,12.8564,12.1799,5,6,20.0,14.285714285714285,10,6,False,False,False,False,0.463
