symbol,interval,strategy,n_calls,net_pnl,gross_pnl,win_rate,n_trades,n_wins,n_losses,avg_winner,avg_loser,breakeven_win_rate_pct,exit_trailing_sl,max_drawdown_pct,final_equity,train1_net_pnl,warmup_net_pnl,boundary_net_pnl,first_day_net_pnl,n_valid_months,all_valid_months_nonnegative,promotion_pass,seconds
SOLUSDT,240,BB_20_2_revert,132,-7.638663,29.589184,25.0,116,29,87,9.695201,-3.319534,25.506,0,10.6675,492.361337,-3.605889,-4.032774,0.0,0.0,12,False,False,0.1
SOLUSDT,240,BB_20_25_revert,67,-36.798946,-15.96699,18.46,65,12,53,11.594879,-3.319575,22.2574,0,16.5514,463.201054,-23.500946,-13.298,0.0,0.0,12,False,False,0.09
SOLUSDT,240,RSI14_6535,181,-102.400734,-57.55186,27.14,140,38,102,6.216349,-3.319824,34.813,0,29.152,397.599266,-98.130186,-4.270549,0.0,0.0,12,False,False,0.1
SOLUSDT,240,RSI21_7030,98,-51.616253,-25.63037,16.05,81,13,68,13.39775,-3.320397,19.861,0,13.0748,448.383747,-34.993753,-16.6225,0.0,0.0,12,False,False,0.09
SOLUSDT,240,RSI7_6535,357,-113.003014,-20.847981,41.67,288,120,168,3.629728,-3.2653,47.3573,0,31.0322,386.996986,-94.482782,-18.520232,0.0,0.0,12,False,False,0.1
SOLUSDT,240,RSI14_7030,155,-93.475467,-54.42923,22.95,122,28,94,7.808269,-3.320287,29.8357,0,25.7855,406.524533,-87.700871,-5.774596,0.0,0.0,12,False,False,0.12
SOLUSDT,60,BB_20_2_revert,583,-82.921349,34.824956,43.21,368,159,209,3.842196,-3.319763,46.3527,0,24.2128,417.078651,-73.967518,-7.244135,-1.709696,0.0,12,False,False,0.25
SOLUSDT,60,BB_20_25_revert,241,-21.258588,40.902688,34.54,194,67,127,5.975909,-3.320035,35.7149,0,12.9261,478.741412,-11.903538,-9.35505,0.0,0.0,12,False,False,0.26
SOLUSDT,60,RSI14_6535,854,-191.663452,-31.245573,46.11,501,231,270,2.934066,-3.220121,52.3241,0,43.7212,308.336548,-171.787237,-18.252615,-1.338818,-0.284783,12,False,False,0.28
SOLUSDT,60,RSI21_7030,357,-164.365099,-97.53512,27.27,209,57,152,5.934602,-3.306825,35.7826,0,35.7126,335.634901,-139.031605,-24.002568,-1.330926,0.0,12,False,False,0.26
SOLUSDT,60,RSI7_6535,1498,-375.87711,-78.891458,54.42,928,505,423,1.577506,-2.77191,63.7306,0,75.1927,124.12289,-334.324384,-35.482396,0.0,-6.07033,12,False,False,0.43
SOLUSDT,60,RSI14_7030,625,-189.731959,-68.682616,41.27,378,156,222,3.482233,-3.301623,48.6688,0,39.4133,310.268041,-181.838346,-6.270012,-1.338818,-0.284783,12,False,False,0.24
ETHUSDT,240,BB_20_2_revert,139,-61.406146,-26.185891,30.91,110,34,76,5.614584,-3.319763,37.1573,0,20.8923,438.593854,-40.418577,-20.987569,0.0,0.0,12,False,False,0.1
ETHUSDT,240,BB_20_25_revert,66,-31.281974,-13.472516,26.79,56,15,41,6.987702,-3.319451,32.2053,0,8.8759,468.718026,-17.983974,-13.298,0.0,0.0,12,False,False,0.1
ETHUSDT,240,RSI14_6535,183,-73.976257,-31.432481,38.35,133,51,82,3.827368,-3.282585,46.1689,0,15.6104,426.023743,-56.983457,-16.992799,0.0,0.0,12,False,False,0.12
ETHUSDT,240,RSI21_7030,95,-53.292957,-31.280841,21.74,69,15,54,8.398536,-3.319833,28.3302,0,11.0861,446.707043,-26.696957,-26.596,0.0,0.0,12,False,False,0.11
ETHUSDT,240,RSI7_6535,359,-83.843741,-2.170183,50.2,255,128,127,2.425072,-3.104354,56.1424,0,20.4,416.156259,-74.726089,-9.117652,0.0,0.0,12,False,False,0.1
ETHUSDT,240,RSI14_7030,141,-113.188185,-81.506295,28.28,99,28,71,4.377583,-3.32057,43.1346,0,22.8923,386.811815,-86.592185,-26.596,0.0,0.0,12,False,False,0.09
ETHUSDT,60,BB_20_2_revert,586,-54.460319,55.041606,52.34,342,179,163,2.551346,-3.135898,55.1391,0,16.2952,445.539681,-41.672132,-12.788187,0.0,0.0,12,False,False,0.44
ETHUSDT,60,BB_20_25_revert,292,-139.59077,-80.322918,35.68,185,66,119,3.77498,-3.266718,46.3911,0,29.2226,360.40923,-131.055701,-8.535069,0.0,0.0,12,False,False,0.38
ETHUSDT,60,RSI14_6535,849,-170.733878,-32.135269,52.19,433,226,207,1.858308,-2.853679,60.5621,0,37.5228,329.266122,-163.129535,-5.919881,-1.268095,-0.416366,12,False,False,0.43
ETHUSDT,60,RSI21_7030,339,-128.864835,-67.084205,38.34,193,74,119,3.561828,-3.297816,48.0756,0,29.9648,371.135165,-97.846099,-31.686045,0.667309,0.0,12,False,False,0.36
ETHUSDT,60,RSI7_6535,1477,-311.696944,-32.351972,52.12,873,455,418,1.134229,-1.980314,63.5828,0,62.8558,188.303056,-287.587768,-25.756874,0.0,1.647697,12,False,False,0.48
ETHUSDT,60,RSI14_7030,624,-177.902699,-67.799825,46.8,344,161,183,2.364782,-3.052637,56.3486,0,38.387,322.097301,-153.417298,-22.85133,-1.267051,-0.367019,12,False,False,0.34
BTCUSDT,240,BB_20_2_revert,140,-61.23143,-28.543807,34.31,102,35,67,4.605573,-3.319799,41.8882,0,20.5095,438.76857,-51.288192,-9.943238,0.0,0.0,12,False,False,0.12
BTCUSDT,240,BB_20_25_revert,68,-47.335451,-29.745044,29.09,55,16,39,5.132628,-3.319423,39.2736,0,15.9284,452.664549,-45.013631,-2.321821,0.0,0.0,12,False,False,0.13
BTCUSDT,240,RSI14_6535,229,-97.624802,-51.801548,40.56,143,58,85,3.076182,-3.247569,51.3551,0,23.4913,402.375198,-90.417013,-7.207789,0.0,0.0,12,False,False,0.15
BTCUSDT,240,RSI21_7030,109,-25.830474,-3.722,30.43,69,21,48,6.360692,-3.320938,34.3014,0,8.1459,474.169526,-9.207974,-16.6225,0.0,0.0,12,False,False,0.19
BTCUSDT,240,RSI7_6535,388,-46.261337,34.100622,56.18,251,141,110,1.872928,-2.821311,60.1016,0,13.4377,453.738663,-44.709791,-1.551547,0.0,0.0,12,False,False,0.17
BTCUSDT,240,RSI14_7030,161,-34.670143,0.612439,40.0,110,44,66,4.19286,-3.320545,44.1949,0,11.2654,465.329857,-25.850771,-8.819372,0.0,0.0,12,False,False,0.12
BTCUSDT,60,BB_20_2_revert,581,-124.462164,-25.86482,50.65,308,156,152,1.849825,-2.717335,59.4973,0,26.9912,375.537836,-118.893635,-5.56853,0.0,0.0,12,False,False,0.35
BTCUSDT,60,BB_20_25_revert,288,-110.743859,-53.730626,43.82,178,78,100,2.65638,-3.179415,54.4813,0,23.5745,389.256141,-99.747496,-10.996363,0.0,0.0,12,False,False,0.34
BTCUSDT,60,RSI14_6535,852,-150.690694,-16.874453,56.46,418,236,182,1.309434,-2.525918,65.8588,0,31.3715,349.309306,-148.371756,-1.013222,-0.546958,-0.758757,12,False,False,0.44
BTCUSDT,60,RSI21_7030,366,-140.376634,-80.480531,41.18,187,77,110,2.879556,-3.29184,53.3403,0,32.5682,359.623366,-107.841019,-32.661882,-0.089581,0.215848,12,False,False,0.43
BTCUSDT,60,RSI7_6535,1501,-303.571022,-32.155771,50.47,848,428,420,0.864182,-1.603431,64.979,0,60.7142,196.428978,-278.412923,-21.833599,0.0,-3.3245,12,False,False,0.43
BTCUSDT,60,RSI14_7030,629,-113.429937,-11.935411,52.68,317,167,150,1.823717,-2.786604,60.4427,0,30.5847,386.570063,-112.736592,0.61237,-0.546958,-0.758757,12,False,False,0.54
XRPUSDT,240,BB_20_2_revert,135,-83.32036,-48.108982,21.82,110,24,86,8.42686,-3.320523,28.2661,0,17.4151,416.67964,-64.016099,-19.304261,0.0,0.0,12,False,False,0.14
XRPUSDT,240,BB_20_25_revert,74,33.650464,55.043699,25.37,67,17,50,11.744674,-3.32018,22.0392,0,7.8289,533.650464,30.520566,3.129898,0.0,0.0,12,False,False,0.13
XRPUSDT,240,RSI14_6535,212,-84.362121,-40.457345,33.58,137,46,91,4.674315,-3.289897,41.3085,0,21.3782,415.637879,-88.171932,3.80981,0.0,0.0,12,False,False,0.13
XRPUSDT,240,RSI21_7030,98,-73.545544,-49.1955,19.74,76,15,61,8.600997,-3.320664,27.854,0,21.255,426.454456,-79.485191,5.939646,0.0,0.0,12,False,False,0.12
XRPUSDT,240,RSI7_6535,388,-166.027594,-78.693023,45.05,273,123,150,2.445228,-3.111937,55.9986,0,33.6771,333.972406,-157.917387,-8.110207,0.0,0.0,12,False,False,0.1
XRPUSDT,240,RSI14_7030,146,-118.376076,-81.509641,22.61,115,26,89,6.814632,-3.32086,32.7647,0,27.936,381.623924,-123.450337,5.074261,0.0,0.0,12,False,False,0.17
XRPUSDT,60,BB_20_2_revert,587,-159.266626,-45.280736,43.54,356,155,201,3.154236,-3.224743,50.5526,0,32.041,340.733374,-149.921241,-9.420544,0.0,0.07516,12,False,False,0.32
XRPUSDT,60,BB_20_25_revert,292,-109.940485,-41.091052,36.74,215,79,136,4.242528,-3.272796,43.5483,0,24.1934,390.059515,-114.853347,4.912862,0.0,0.0,12,False,False,0.34
XRPUSDT,60,RSI14_6535,848,-237.139056,-90.277583,47.93,459,220,239,2.244921,-3.058668,57.6717,0,51.7171,262.860944,-225.584766,-7.457096,-0.772694,-3.3245,12,False,False,0.45
XRPUSDT,60,RSI21_7030,310,-104.131,-43.282431,32.63,190,62,128,5.175387,-3.320352,39.0826,0,29.0033,395.869,-110.82943,6.604498,0.0,0.093932,12,False,False,0.24
XRPUSDT,60,RSI7_6535,1518,-325.32157,-22.815952,50.9,945,481,464,1.482297,-2.237729,60.1536,0,65.0643,174.67843,-292.544498,-29.452572,0.0,-3.3245,12,False,False,0.29
XRPUSDT,60,RSI14_7030,605,-211.292286,-99.286825,40.29,350,141,209,3.082747,-3.090716,50.0645,0,48.4712,288.707714,-213.827063,6.626468,-0.767191,-3.3245,12,False,False,0.24
DOGEUSDT,240,BB_20_2_revert,136,-84.449269,-47.243189,18.97,116,22,94,10.346442,-3.319904,24.2926,0,20.4918,415.550731,-88.078255,3.628986,0.0,0.0,12,False,False,0.15
DOGEUSDT,240,BB_20_25_revert,64,-69.43194,-51.075759,8.77,57,5,52,20.648812,-3.320692,13.8538,0,16.394,430.56806,-52.80944,-16.6225,0.0,0.0,12,False,False,0.12
DOGEUSDT,240,RSI14_6535,201,-126.613466,-78.764482,26.17,149,39,110,6.118988,-3.320491,35.1766,0,26.4972,373.386534,-119.387967,-7.225499,0.0,0.0,12,False,False,0.21
DOGEUSDT,240,RSI21_7030,82,-46.311143,-23.995164,14.29,70,10,60,15.286186,-3.31955,17.8415,0,14.3722,453.688857,-39.662143,-6.649,0.0,0.0,12,False,False,0.14
DOGEUSDT,240,RSI7_6535,375,-160.268755,-63.631961,42.38,302,128,174,3.192294,-3.269439,50.5969,0,36.1772,339.731245,-177.136402,16.867648,0.0,0.0,12,False,False,0.17
DOGEUSDT,240,RSI14_7030,132,-113.760888,-77.549257,19.47,113,22,91,8.562391,-3.320148,27.9414,0,27.2309,386.239112,-103.932003,-9.828886,0.0,0.0,12,False,False,0.2
DOGEUSDT,60,BB_20_2_revert,569,-188.975788,-67.058939,37.27,381,142,239,4.217197,-3.296309,43.8718,0,41.7423,311.024212,-175.211602,-13.764186,0.0,0.0,12,False,False,0.41
DOGEUSDT,60,BB_20_25_revert,270,-44.931596,22.262389,32.38,210,68,142,6.271653,-3.319746,34.6117,0,18.5131,455.068404,-36.121625,-8.80997,0.0,0.0,12,False,False,0.45
DOGEUSDT,60,RSI14_6535,882,-317.200777,-153.255262,42.19,512,216,296,2.944517,-3.220326,52.237,0,68.7838,182.799223,-299.615587,-16.19605,-0.873351,-0.515788,12,False,False,0.44
DOGEUSDT,60,RSI21_7030,363,-131.167655,-57.833639,27.95,229,64,165,6.511357,-3.320573,33.7734,0,32.7077,368.832345,-100.191561,-30.963577,0.0,-0.012517,12,False,False,0.33
DOGEUSDT,60,RSI7_6535,1504,-281.89536,27.223535,50.72,966,490,476,2.067557,-2.720585,56.8192,0,56.7735,218.10464,-247.755049,-32.834365,0.0,-1.305946,12,False,False,0.46
DOGEUSDT,60,RSI14_7030,647,-132.265107,1.894212,40.33,419,169,250,4.047724,-3.265322,44.6506,0,38.9355,367.734893,-118.687709,-12.197513,-0.864096,-0.515788,12,False,False,0.41
