symbol,interval,strategy,n_trades,train1_net_pnl,warmup_net_pnl,boundary_net_pnl,full_run_max_drawdown_pct,full_run_final_equity,n_valid_months,all_valid_months_nonnegative,promotion_pass,seconds
SOLUSDT,240,DONCHIAN_55,20,-49.642671,-3.3155,0.0,12.4862,447.041829,12,False,False,0.11
SOLUSDT,240,BB_20_25_breakout,38,15.274984,24.364097,0.0,9.2466,539.639081,12,False,False,0.12
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,-13.746762,-3.3155,0.0,9.9565,482.937738,12,False,False,0.1
SOLUSDT,60,DONCHIAN_55,77,38.138406,13.830511,0.701751,12.5807,552.670669,12,False,False,0.21
SOLUSDT,60,BB_20_25_breakout,136,-83.01315,-9.54349,-1.19127,27.695,406.252091,12,False,False,0.22
SOLUSDT,60,DONCHIAN_PULLBACK_55,54,-38.373847,-7.500761,0.0,16.7367,454.125392,12,False,False,0.2
ETHUSDT,240,DONCHIAN_55,20,30.100531,38.21699,0.0,7.2196,568.317521,12,False,False,0.09
ETHUSDT,240,BB_20_25_breakout,37,60.729212,37.24684,0.0,5.4277,597.976052,12,False,False,0.09
ETHUSDT,240,DONCHIAN_PULLBACK_55,12,-11.361243,0.0,0.0,7.1306,488.638757,12,False,False,0.09
ETHUSDT,60,DONCHIAN_55,78,-14.108667,33.178413,0.0,11.2137,519.069746,12,False,False,0.23
ETHUSDT,60,BB_20_25_breakout,111,70.89605,8.14533,-1.070125,10.1937,577.971255,12,False,False,0.22
ETHUSDT,60,DONCHIAN_PULLBACK_55,64,-75.703214,26.0001,0.0,18.9801,450.296885,12,False,False,0.24
BTCUSDT,240,DONCHIAN_55,18,11.051945,38.056997,0.0,7.6017,549.108942,12,False,False,0.08
BTCUSDT,240,BB_20_25_breakout,39,23.122836,19.615838,0.0,6.037,542.738674,12,False,False,0.1
BTCUSDT,240,DONCHIAN_PULLBACK_55,11,56.429229,19.354499,0.0,6.8411,575.783727,12,False,False,0.09
BTCUSDT,60,DONCHIAN_55,76,10.888091,4.305771,-0.503678,6.7252,514.690185,12,False,False,0.23
BTCUSDT,60,BB_20_25_breakout,134,-52.420319,12.565751,-0.497931,15.1734,459.647502,12,False,False,0.22
BTCUSDT,60,DONCHIAN_PULLBACK_55,52,-9.852288,14.405847,-0.550371,9.0451,504.003189,12,False,False,0.25
XRPUSDT,240,DONCHIAN_55,24,225.093446,-3.3155,0.0,20.2287,721.777946,12,False,False,0.1
XRPUSDT,240,BB_20_25_breakout,47,223.309155,-2.107409,0.0,18.1838,721.201746,12,False,False,0.09
XRPUSDT,240,DONCHIAN_PULLBACK_55,21,-11.237264,-3.3155,0.0,12.1327,485.447236,12,False,False,0.09
XRPUSDT,60,DONCHIAN_55,76,156.512601,-17.394034,0.0,12.5312,639.118567,12,False,False,0.21
XRPUSDT,60,BB_20_25_breakout,140,143.074097,-26.17579,-0.671173,20.8088,616.227134,12,False,False,0.25
XRPUSDT,60,DONCHIAN_PULLBACK_55,58,126.440507,-16.6045,-0.671291,11.2317,609.164716,12,False,False,0.23
DOGEUSDT,240,DONCHIAN_55,18,-22.07782,-3.3155,0.0,9.0758,474.60668,12,False,False,0.09
DOGEUSDT,240,BB_20_25_breakout,35,109.096583,22.085892,0.0,17.3456,631.182475,12,False,False,0.09
DOGEUSDT,240,DONCHIAN_PULLBACK_55,14,235.661082,43.966152,0.0,21.582,779.627234,12,False,False,0.08
DOGEUSDT,60,DONCHIAN_55,69,197.914664,-6.721975,-0.736106,10.1347,690.456583,12,False,False,0.24
DOGEUSDT,60,BB_20_25_breakout,152,-22.2282,5.626586,-0.736106,19.7827,482.66228,12,False,False,0.22
DOGEUSDT,60,DONCHIAN_PULLBACK_55,50,123.667274,42.566457,-0.849333,12.8564,665.384397,12,False,False,0.23
