symbol,interval,strategy,n_trades,train1_net_pnl,warmup_net_pnl,boundary_net_pnl,first_day_net_pnl,full_run_max_drawdown_pct,full_run_final_equity,n_valid_months,all_valid_months_nonnegative,promotion_pass,seconds
SOLUSDT,240,EMA3_21_50_200,24,-8.307659,36.459489,0.0,-2.951276,21.095,525.200554,12,False,False,0.15
SOLUSDT,240,EMA3_13_50_200,26,-14.947659,36.459489,0.0,-2.951276,22.1603,518.560554,12,False,False,0.16
SOLUSDT,240,BB_20_2_EMA200,33,85.546141,21.048597,0.0,0.0,7.5441,606.594738,12,False,False,0.17
SOLUSDT,240,EMA_50_200,19,8.323841,36.459489,0.0,-2.951276,17.8947,541.832054,12,False,False,0.17
SOLUSDT,240,BB_20_25_EMA200,25,43.839241,24.364097,0.0,0.0,11.0818,568.203338,12,False,False,0.14
SOLUSDT,60,EMA3_21_50_200,61,57.310536,-1.467283,-0.909197,2.473147,9.1231,557.407202,12,False,False,0.4
SOLUSDT,60,EMA3_13_50_200,66,51.415953,-4.791783,-0.891464,2.473147,9.7156,548.205853,12,False,False,0.48
SOLUSDT,60,BB_20_2_EMA200,125,46.410212,16.502329,-1.052721,0.0,11.0797,561.85982,12,False,False,0.39
SOLUSDT,60,EMA_50_200,49,8.634937,-1.467283,0.0,2.473147,8.2782,509.6408,12,False,False,0.36
SOLUSDT,60,BB_20_25_EMA200,80,85.522585,10.654952,-1.063001,0.0,11.3961,595.114536,12,False,False,0.41
ETHUSDT,240,EMA3_21_50_200,27,-35.123926,47.728483,0.0,-2.293245,16.5057,510.311312,12,False,False,0.11
ETHUSDT,240,EMA3_13_50_200,27,-35.123926,47.728483,0.0,-2.293245,16.5057,510.311312,12,False,False,0.1
ETHUSDT,240,BB_20_2_EMA200,38,20.978395,45.79851,0.0,0.0,10.0889,566.776905,12,False,False,0.12
ETHUSDT,240,EMA_50_200,19,-39.788822,47.728483,0.0,-2.293245,13.8146,505.646416,12,False,False,0.17
ETHUSDT,240,BB_20_25_EMA200,22,16.878825,37.24684,0.0,0.0,10.1575,554.125665,12,False,False,0.18
ETHUSDT,60,EMA3_21_50_200,66,-8.939433,47.276254,-1.095956,-1.600549,11.0488,535.640317,12,False,False,0.55
ETHUSDT,60,EMA3_13_50_200,66,-9.959234,47.276254,-1.095956,-1.600549,11.1198,534.620516,12,False,False,0.41
ETHUSDT,60,BB_20_2_EMA200,130,-36.227902,35.113051,-1.070125,0.0,16.5834,497.815024,12,False,False,0.39
ETHUSDT,60,EMA_50_200,56,4.097449,47.276254,-1.095956,-1.600549,8.8101,548.677199,12,False,False,0.38
ETHUSDT,60,BB_20_25_EMA200,80,30.386076,35.05721,-1.070125,0.0,9.1518,564.373162,12,False,False,0.39
BTCUSDT,240,EMA3_21_50_200,19,20.679988,46.963282,0.0,-2.010499,10.1211,565.632771,12,False,False,0.17
BTCUSDT,240,EMA3_13_50_200,21,14.145977,46.963282,0.0,-2.010499,11.2645,559.09876,12,False,False,0.16
BTCUSDT,240,BB_20_2_EMA200,41,-40.807672,42.348523,0.0,0.0,14.0546,501.540852,12,False,False,0.17
BTCUSDT,240,EMA_50_200,15,-17.214657,46.963282,0.0,-2.010499,10.6933,527.738126,12,False,False,0.17
BTCUSDT,240,BB_20_25_EMA200,24,12.864551,37.030456,0.0,0.0,8.2546,549.895007,12,False,False,0.14
BTCUSDT,60,EMA3_21_50_200,69,-39.301571,48.560243,-0.499204,4.909402,14.2487,513.668869,12,False,False,0.34
BTCUSDT,60,EMA3_13_50_200,67,-19.728587,48.560243,-0.499204,4.909402,10.9,533.241853,12,False,False,0.27
BTCUSDT,60,BB_20_2_EMA200,110,5.684958,24.600652,-0.497931,0.0,7.7984,529.787679,12,False,False,0.19
BTCUSDT,60,EMA_50_200,66,-21.234842,48.560243,-0.499204,4.909402,11.1577,531.735598,12,False,False,0.19
BTCUSDT,60,BB_20_25_EMA200,83,-13.588079,26.429161,-0.497931,0.0,10.1127,512.343151,12,False,False,0.19
XRPUSDT,240,EMA3_21_50_200,21,300.015333,3.913793,0.0,-0.107851,20.4695,803.821275,12,False,False,0.09
XRPUSDT,240,EMA3_13_50_200,22,296.210985,3.913793,0.0,-0.107851,20.4695,800.016927,12,False,False,0.07
XRPUSDT,240,BB_20_2_EMA200,40,219.531213,5.99942,0.0,0.0,20.2975,725.530632,12,False,False,0.09
XRPUSDT,240,EMA_50_200,15,299.735189,3.913793,0.0,-0.107851,20.1192,803.541131,12,False,False,0.07
XRPUSDT,240,BB_20_25_EMA200,29,213.405353,14.149319,0.0,0.0,20.6602,727.554672,12,False,False,0.07
XRPUSDT,60,EMA3_21_50_200,72,231.544601,-11.160522,-0.668115,3.948397,20.0121,723.664362,12,False,False,0.19
XRPUSDT,60,EMA3_13_50_200,77,219.415138,-10.483683,-0.668115,3.948397,20.5506,712.211737,12,False,False,0.22
XRPUSDT,60,BB_20_2_EMA200,126,262.683742,-20.019911,-0.660754,-0.07516,19.0609,741.927919,12,False,False,0.2
XRPUSDT,60,EMA_50_200,60,247.626763,-9.126367,-0.668115,3.948397,20.1439,741.780679,12,False,False,0.21
XRPUSDT,60,BB_20_25_EMA200,88,295.322632,-18.451016,-0.660754,0.0,16.265,776.210863,12,False,False,0.2
DOGEUSDT,240,EMA3_21_50_200,17,225.928859,47.251227,0.0,-2.04147,20.0067,771.138616,12,False,False,0.08
DOGEUSDT,240,EMA3_13_50_200,22,208.851384,47.251227,0.0,-2.04147,20.3005,754.061141,12,False,False,0.07
DOGEUSDT,240,BB_20_2_EMA200,38,253.761911,41.90541,0.0,0.0,17.6683,795.667322,12,False,False,0.09
DOGEUSDT,240,EMA_50_200,13,38.057393,47.251227,0.0,-2.04147,14.7012,583.267149,12,False,False,0.07
DOGEUSDT,240,BB_20_25_EMA200,28,111.903223,22.085892,0.0,0.0,18.1546,633.989115,12,False,False,0.07
DOGEUSDT,60,EMA3_21_50_200,61,213.444048,31.434745,-0.716468,2.370275,14.9594,746.532599,12,False,False,0.19
DOGEUSDT,60,EMA3_13_50_200,65,201.202985,31.083549,-0.716468,2.370275,15.4904,733.940341,12,False,False,0.2
DOGEUSDT,60,BB_20_2_EMA200,139,135.656989,-6.714152,-0.736106,0.0,21.1115,628.20673,12,False,False,0.21
DOGEUSDT,60,EMA_50_200,52,198.455864,31.484965,-0.716468,2.370275,13.5956,731.594637,12,False,False,0.18
DOGEUSDT,60,BB_20_25_EMA200,101,32.468213,5.472827,-0.736106,0.0,25.1035,537.204934,12,False,False,0.18
