group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
catalog,SOLUSDT,240,EMA_8_21,none,0,0.03,111,-401.682394,-302.805291,98.877104,28.16,309,128,80.3669,98.317606,False,0.2
catalog,SOLUSDT,240,EMA_8_21,none,50,0.03,111,-142.872518,-115.682571,27.189947,20.0,85,42,28.5745,357.127482,True,0.15
catalog,SOLUSDT,240,EMA_8_21,one_shot,0,0.03,111,-129.460435,-93.945355,35.51508,30.63,111,38,26.3863,370.539565,True,0.17
catalog,SOLUSDT,240,EMA_8_21,one_shot,50,0.03,111,-71.344738,-56.339008,15.00573,25.53,47,20,14.2689,428.655262,True,0.25
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,none,0,0.03,194,-400.569136,-307.441857,93.127279,27.84,291,134,80.2793,99.430864,False,0.21
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,none,50,0.03,194,-117.265846,-94.886752,22.379094,28.57,70,40,23.4532,382.734154,True,0.16
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,one_shot,0,0.03,194,-195.879635,-142.477821,53.401814,35.93,167,73,39.1759,304.120365,True,0.18
catalog,SOLUSDT,240,EMA_13_34_RSI14_55,one_shot,50,0.03,194,-65.44294,-45.616791,19.826149,38.71,62,27,13.0886,434.55706,True,0.2
catalog,SOLUSDT,240,RSI14_7030,none,0,0.03,155,-401.412376,-313.384763,88.027612,25.82,275,136,80.3369,98.587624,False,0.2
catalog,SOLUSDT,240,RSI14_7030,none,50,0.03,155,-91.36854,-72.507974,18.860566,22.03,59,30,18.4991,408.63146,True,0.15
catalog,SOLUSDT,240,RSI14_7030,one_shot,0,0.03,155,-196.709711,-153.516061,43.19365,29.63,135,70,39.5828,303.290289,True,0.19
catalog,SOLUSDT,240,RSI14_7030,one_shot,50,0.03,155,-83.688186,-67.059125,16.629061,21.15,52,28,17.0408,416.311814,True,0.16
