group,symbol,interval,strategy,mask_mode,cooldown_candles,max_sl_pct,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_initial_sl_exits,max_drawdown_pct,final_equity,survived,seconds
lorentzian,SOLUSDT,240,LORENTZIAN_default,none,0,0.03,70,-401.977174,-306.254323,95.722851,28.43,299,131,80.4789,98.022826,False,0.09
lorentzian,SOLUSDT,240,LORENTZIAN_default,none,50,0.03,70,-117.409648,-91.827318,25.58233,25.0,80,38,23.8078,382.590352,True,0.06
lorentzian,SOLUSDT,240,LORENTZIAN_default,one_shot,0,0.03,70,-85.326404,-62.946282,22.380122,35.71,70,31,17.5552,414.673596,True,0.06
lorentzian,SOLUSDT,240,LORENTZIAN_default,one_shot,50,0.03,70,-63.952987,-52.446925,11.506062,27.78,36,21,13.0497,436.047013,True,0.12
lorentzian,SOLUSDT,240,LORENTZIAN_raw,none,0,0.03,230,-400.704621,-306.702831,94.00179,23.47,294,115,80.1409,99.295379,False,0.09
lorentzian,SOLUSDT,240,LORENTZIAN_raw,none,50,0.03,230,-148.386688,-117.059864,31.326824,23.47,98,39,29.6773,351.613312,True,0.08
lorentzian,SOLUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,230,-252.531479,-180.588585,71.942894,30.22,225,73,50.6949,247.468521,True,0.06
lorentzian,SOLUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,230,-93.598,-65.785168,27.812831,31.03,87,25,18.7196,406.402,True,0.14
lorentzian,SOLUSDT,60,LORENTZIAN_default,none,0,0.03,290,-400.218676,-299.033447,101.185229,34.81,316,144,80.0979,99.781324,False,0.24
lorentzian,SOLUSDT,60,LORENTZIAN_default,none,50,0.03,290,-297.94071,-191.950288,105.990423,39.58,331,106,59.6979,202.05929,True,0.16
lorentzian,SOLUSDT,60,LORENTZIAN_default,one_shot,0,0.03,290,-248.06867,-155.257917,92.810753,41.38,290,97,50.8188,251.93133,True,0.21
lorentzian,SOLUSDT,60,LORENTZIAN_default,one_shot,50,0.03,290,-151.110617,-97.95033,53.160287,40.96,166,57,31.6075,348.889383,True,0.26
lorentzian,SOLUSDT,60,LORENTZIAN_raw,none,0,0.03,890,-400.633007,-270.633952,129.999054,30.05,406,104,80.344,99.366993,False,0.31
lorentzian,SOLUSDT,60,LORENTZIAN_raw,none,50,0.03,890,-400.20963,-226.368446,173.841184,26.15,543,62,80.2603,99.79037,False,0.2
lorentzian,SOLUSDT,60,LORENTZIAN_raw,one_shot,0,0.03,890,-401.537967,-211.140177,190.397791,26.72,595,57,80.4604,98.462033,False,0.28
lorentzian,SOLUSDT,60,LORENTZIAN_raw,one_shot,50,0.03,890,-401.106808,-222.518893,178.587916,25.63,558,53,80.3749,98.893192,False,0.23
lorentzian,ETHUSDT,240,LORENTZIAN_default,none,0,0.03,76,-402.156712,-305.409259,96.747453,29.14,302,135,80.6567,97.843288,False,0.15
lorentzian,ETHUSDT,240,LORENTZIAN_default,none,50,0.03,76,-113.102521,-89.399301,23.70322,27.03,74,34,23.3952,386.897479,True,0.07
lorentzian,ETHUSDT,240,LORENTZIAN_default,one_shot,0,0.03,76,-100.149567,-75.83847,24.311097,34.21,76,35,20.3303,399.850433,True,0.08
lorentzian,ETHUSDT,240,LORENTZIAN_default,one_shot,50,0.03,76,-48.026254,-34.586496,13.439758,40.48,42,17,9.9353,451.973746,True,0.07
lorentzian,ETHUSDT,240,LORENTZIAN_raw,none,0,0.03,241,-402.609479,-275.738614,126.870865,26.77,396,106,80.6136,97.390521,False,0.08
lorentzian,ETHUSDT,240,LORENTZIAN_raw,none,50,0.03,241,-142.636537,-106.738574,35.897963,25.89,112,37,28.5273,357.363463,True,0.06
lorentzian,ETHUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,241,-204.006591,-130.046772,73.95982,30.74,231,46,40.9742,295.993409,True,0.1
lorentzian,ETHUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,241,-94.219892,-55.476116,38.743776,33.88,121,19,18.844,405.780108,True,0.09
lorentzian,ETHUSDT,60,LORENTZIAN_default,none,0,0.03,304,-402.357834,-255.024642,147.333192,34.78,460,98,80.671,97.642166,False,0.28
lorentzian,ETHUSDT,60,LORENTZIAN_default,none,50,0.03,304,-293.027506,-177.6868,115.340706,33.33,360,69,59.2125,206.972494,True,0.23
lorentzian,ETHUSDT,60,LORENTZIAN_default,one_shot,0,0.03,304,-218.445393,-121.128725,97.316668,37.5,304,53,45.874,281.554607,True,0.19
lorentzian,ETHUSDT,60,LORENTZIAN_default,one_shot,50,0.03,304,-146.401308,-70.514121,75.887188,37.97,237,34,31.5644,353.598692,True,0.19
lorentzian,ETHUSDT,60,LORENTZIAN_raw,none,0,0.03,942,-400.010404,-172.378877,227.631526,27.85,711,50,80.0802,99.989596,False,0.26
lorentzian,ETHUSDT,60,LORENTZIAN_raw,none,50,0.03,942,-400.788254,-166.114358,234.673896,24.97,733,35,80.2351,99.211746,False,0.22
lorentzian,ETHUSDT,60,LORENTZIAN_raw,one_shot,0,0.03,942,-400.876466,-156.67062,244.205847,25.69,763,26,80.2527,99.123534,False,0.23
lorentzian,ETHUSDT,60,LORENTZIAN_raw,one_shot,50,0.03,942,-355.221862,-116.798238,238.423624,26.58,745,27,71.8517,144.778138,True,0.23
lorentzian,BTCUSDT,240,LORENTZIAN_default,none,0,0.03,58,-301.675963,-209.348848,92.327115,36.46,288,110,60.5754,198.324037,True,0.12
lorentzian,BTCUSDT,240,LORENTZIAN_default,none,50,0.03,58,-79.774399,-52.204035,27.570364,40.7,86,29,16.4434,420.225601,True,0.11
lorentzian,BTCUSDT,240,LORENTZIAN_default,one_shot,0,0.03,58,-54.948992,-36.388355,18.560637,41.38,58,23,12.3113,445.051008,True,0.07
lorentzian,BTCUSDT,240,LORENTZIAN_default,one_shot,50,0.03,58,-34.173033,-22.328939,11.844094,40.54,37,15,7.5794,465.826967,True,0.08
lorentzian,BTCUSDT,240,LORENTZIAN_raw,none,0,0.03,228,-400.620171,-277.261426,123.358745,27.79,385,92,80.2863,99.379829,False,0.11
lorentzian,BTCUSDT,240,LORENTZIAN_raw,none,50,0.03,228,-126.772304,-81.601938,45.170365,30.5,141,30,25.9637,373.227696,True,0.08
lorentzian,BTCUSDT,240,LORENTZIAN_raw,one_shot,0,0.03,228,-195.757598,-127.601352,68.156246,28.64,213,38,39.9541,304.242402,True,0.08
lorentzian,BTCUSDT,240,LORENTZIAN_raw,one_shot,50,0.03,228,-99.417811,-63.89247,35.525342,31.53,111,19,20.786,400.582189,True,0.09
lorentzian,BTCUSDT,60,LORENTZIAN_default,none,0,0.03,279,-335.315875,-182.873754,152.442121,33.4,476,73,67.4758,164.684125,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,none,50,0.03,279,-204.699593,-89.745807,114.953786,34.26,359,33,42.0695,295.300407,True,0.24
lorentzian,BTCUSDT,60,LORENTZIAN_default,one_shot,0,0.03,279,-182.018172,-92.733398,89.284775,34.05,279,33,37.0703,317.981828,True,0.22
lorentzian,BTCUSDT,60,LORENTZIAN_default,one_shot,50,0.03,279,-146.56077,-71.697377,74.863392,34.62,234,23,29.7388,353.43923,True,0.18
lorentzian,BTCUSDT,60,LORENTZIAN_raw,none,0,0.03,954,-400.344591,-151.569394,248.775197,25.1,777,40,80.1522,99.655409,False,0.26
