symbol,interval,strategy,n_trades_baseline,n_trades_sized,train1_net_pnl_baseline,train1_net_pnl_sized,full_run_max_drawdown_pct_baseline,full_run_max_drawdown_pct_sized,promotion_pass_baseline,promotion_pass_sized,promotion_pass_genuine,degenerate_uniform_sizing,stake_cv,mean_applied_mult,mean_mult_within_expected_band,mean_mult_winners,mean_mult_losers,n_month_flips,seconds
SOLUSDT,240,DONCHIAN_55,20,20,-49.642671,-42.871023,12.4862,12.1025,False,False,False,False,0.297308,0.976316,True,1.3746018421753403,0.95535352219283,0,0.25
SOLUSDT,240,BB_20_25_breakout,38,38,15.274984,20.892021,9.2466,9.5398,False,False,False,False,0.250987,0.985402,True,1.02912407090524,0.9697869639504116,0,0.35
SOLUSDT,240,DONCHIAN_PULLBACK_55,14,14,-13.746762,-1.094785,9.9565,8.3,False,False,False,False,0.246896,0.907339,True,1.2839499921144921,0.8783693591439266,0,0.38
SOLUSDT,60,DONCHIAN_55,77,77,38.138406,31.507713,12.5807,12.1583,False,False,False,False,0.245926,0.944927,True,0.8995417856478242,0.9654782804325774,1,0.38
SOLUSDT,60,BB_20_25_breakout,136,136,-83.01315,-78.523551,27.695,26.5661,False,False,False,False,0.317837,0.934191,True,0.9345483278485853,0.9340938857126428,0,0.4
SOLUSDT,60,DONCHIAN_PULLBACK_55,54,54,-38.373847,-32.551595,16.7367,15.0067,False,False,False,False,0.305416,0.964403,True,0.9579359358658518,0.9658723633593244,1,0.38
ETHUSDT,240,DONCHIAN_55,20,20,30.100531,19.118064,7.2196,6.8506,False,False,False,False,0.275757,0.887082,False,0.8810958026841638,0.8896477353410359,0,0.16
ETHUSDT,240,BB_20_25_breakout,37,37,60.729212,34.596891,5.4277,5.3406,False,False,False,False,0.241658,0.958195,True,0.8818438490492216,1.0046700703600855,0,0.16
ETHUSDT,240,DONCHIAN_PULLBACK_55,12,12,-11.361243,-15.928245,7.1306,6.5889,False,False,False,False,0.265856,0.993814,True,0.8311717551204044,1.0085995298721382,0,0.16
ETHUSDT,60,DONCHIAN_55,78,78,-14.108667,-36.587124,11.2137,10.0797,False,False,False,False,0.290179,0.858939,False,0.7926412324712078,0.8866630748421905,0,0.38
ETHUSDT,60,BB_20_25_breakout,111,111,70.89605,36.172848,10.1937,10.5951,False,False,False,False,0.300363,0.911663,True,0.8715014453556682,0.9361098561193623,1,0.41
ETHUSDT,60,DONCHIAN_PULLBACK_55,64,64,-75.703214,-97.476409,18.9801,21.4878,False,False,False,False,0.354845,1.033689,True,1.0032673588065162,1.0407099635225634,0,0.39
BTCUSDT,240,DONCHIAN_55,18,18,11.051945,14.556156,7.6017,7.0654,False,False,False,False,0.262345,0.974265,True,1.0657011990590692,0.9481400435739235,0,0.15
BTCUSDT,240,BB_20_25_breakout,39,39,23.122836,9.523228,6.037,5.9886,False,False,False,False,0.258745,0.964858,True,0.922436103778725,0.9815240751325002,0,0.17
