symbol,interval,strategy,adx_threshold,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
SOLUSDT,240,EMA_8_21,none,-401.682394,28.16,309,80.3669,98.317606,False
SOLUSDT,240,EMA_8_21,15,-401.362394,28.25,308,80.303,98.637606,False
SOLUSDT,240,EMA_8_21,20,-403.291147,27.69,307,80.6881,96.708853,False
SOLUSDT,240,EMA_8_21,25,-402.77814,25.62,281,80.5857,97.22186,False
SOLUSDT,240,EMA_8_21,30,-402.361186,25.95,289,80.5024,97.638814,False
SOLUSDT,240,EMA_13_34_RSI14_55,none,-400.569136,27.84,291,80.2793,99.430864,False
SOLUSDT,240,EMA_13_34_RSI14_55,15,-400.976368,27.53,287,80.2354,99.023632,False
SOLUSDT,240,EMA_13_34_RSI14_55,20,-400.59747,27.62,286,80.1598,99.40253,False
SOLUSDT,240,EMA_13_34_RSI14_55,25,-402.271455,27.57,272,80.4939,97.728545,False
SOLUSDT,240,EMA_13_34_RSI14_55,30,-401.445592,27.7,278,80.3291,98.554408,False
SOLUSDT,240,RSI14_7030,none,-401.412376,25.82,275,80.3369,98.587624,False
SOLUSDT,240,RSI14_7030,15,-401.403376,25.82,275,80.3351,98.596624,False
SOLUSDT,240,RSI14_7030,20,-400.348646,25.0,272,80.1247,99.651354,False
SOLUSDT,240,RSI14_7030,25,-368.613909,24.51,253,73.8688,131.386091,True
SOLUSDT,240,RSI14_7030,30,-333.526507,25.11,235,66.8707,166.473493,True
SOLUSDT,240,MACD_12_26_hist,none,-400.536178,24.57,289,80.138,99.463822,False
SOLUSDT,240,MACD_12_26_hist,15,-400.216178,24.65,288,80.0741,99.783822,False
SOLUSDT,240,MACD_12_26_hist,20,-402.98412,24.38,283,80.6268,97.01588,False
SOLUSDT,240,MACD_12_26_hist,25,-401.776294,23.53,272,80.3856,98.223706,False
SOLUSDT,240,MACD_12_26_hist,30,-401.034472,25.36,280,80.2375,98.965528,False
SOLUSDT,240,MACD_RSI14_50,none,-400.431346,25.0,272,80.1266,99.568654,False
SOLUSDT,240,MACD_RSI14_50,15,-400.111346,25.09,271,80.0627,99.888654,False
SOLUSDT,240,MACD_RSI14_50,20,-402.845683,25.47,267,80.6085,97.154317,False
SOLUSDT,240,MACD_RSI14_50,25,-402.318725,25.9,278,80.5033,97.681275,False
SOLUSDT,240,MACD_RSI14_50,30,-401.912424,22.75,255,80.4222,98.087576,False
