symbol,interval,strategy,max_sl_pct,net_pnl,win_rate,n_trades,max_drawdown_pct,final_equity,survived
SOLUSDT,240,EMA_8_21,0.03,-401.682394,28.16,309,80.3669,98.317606,False
SOLUSDT,240,EMA_8_21,0.05,-403.56414,29.25,253,80.7128,96.43586,False
SOLUSDT,240,EMA_8_21,0.08,-405.065797,33.18,223,81.0132,94.934203,False
SOLUSDT,240,EMA_8_21,0.12,-402.550542,33.33,213,80.5101,97.449458,False
SOLUSDT,240,EMA_13_34_RSI14_55,0.03,-400.569136,27.84,291,80.2793,99.430864,False
SOLUSDT,240,EMA_13_34_RSI14_55,0.05,-400.716174,32.05,234,80.1432,99.283826,False
SOLUSDT,240,EMA_13_34_RSI14_55,0.08,-407.800185,38.18,220,81.6526,92.199815,False
SOLUSDT,240,EMA_13_34_RSI14_55,0.12,-402.225488,38.83,206,80.5433,97.774512,False
SOLUSDT,240,RSI14_7030,0.03,-401.412376,25.82,275,80.3369,98.587624,False
SOLUSDT,240,RSI14_7030,0.05,-395.636097,32.56,215,79.2583,104.363903,True
SOLUSDT,240,RSI14_7030,0.08,-401.957661,33.54,158,80.5051,98.042339,False
SOLUSDT,240,RSI14_7030,0.12,-339.924327,35.82,134,68.1702,160.075673,True
SOLUSDT,240,MACD_12_26_hist,0.03,-400.536178,24.57,289,80.138,99.463822,False
SOLUSDT,240,MACD_12_26_hist,0.05,-402.24436,26.72,232,80.4489,97.75564,False
SOLUSDT,240,MACD_12_26_hist,0.08,-403.873158,28.37,208,80.7746,96.126842,False
SOLUSDT,240,MACD_12_26_hist,0.12,-403.824365,29.23,195,80.7649,96.175635,False
SOLUSDT,240,MACD_RSI14_50,0.03,-400.431346,25.0,272,80.1266,99.568654,False
SOLUSDT,240,MACD_RSI14_50,0.05,-402.464712,27.65,217,80.4929,97.535288,False
SOLUSDT,240,MACD_RSI14_50,0.08,-402.282256,29.67,182,80.5546,97.717744,False
