symbol,interval,strategy,max_sl_pct,activate_pct,trail_pct,no_trail,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,EMA_8_21,0.03,10.0,,True,0,one_shot,111,12.141222,47.702753,35.561531,26.13,111,29,82,244.225897,-232.084675,8.421583,-2.830301,25.154,16.82,57,0,53,1,12.2558,512.141222,True,0.24
SOLUSDT,240,EMA_8_21,0.05,10.0,,True,0,one_shot,111,-24.00677,11.531665,35.538435,27.93,111,31,80,247.361144,-271.367914,7.979392,-3.392099,29.8299,19.23,24,0,86,1,15.6593,475.99323,True,0.2
SOLUSDT,240,EMA_8_21,0.08,10.0,,True,0,one_shot,111,29.548274,65.188776,35.640502,29.73,111,33,78,299.407234,-269.858959,9.072946,-3.45973,27.6057,20.59,4,0,106,1,11.4442,529.548274,True,0.18
SOLUSDT,240,EMA_8_21,0.12,10.0,,True,0,one_shot,111,35.782087,71.426999,35.644912,29.73,111,33,78,299.407234,-263.625147,9.072946,-3.37981,27.1411,20.6,0,0,110,1,10.7546,535.782087,True,0.1
SOLUSDT,240,MACD_12_26_hist,0.03,10.0,,True,0,one_shot,204,8.894947,74.325026,65.430079,28.92,204,59,145,408.430781,-399.535834,6.922556,-2.75542,28.471,8.91,95,0,109,0,17.4727,508.894947,True,0.13
SOLUSDT,240,MACD_12_26_hist,0.05,10.0,,True,0,one_shot,204,-38.560586,26.82639,65.386976,31.37,204,64,140,434.363304,-472.92389,6.786927,-3.378028,33.2321,10.09,43,0,161,0,19.1186,461.439414,True,0.13
SOLUSDT,240,MACD_12_26_hist,0.08,10.0,,True,0,one_shot,204,-62.010907,3.416855,65.427762,31.86,204,65,139,444.300173,-506.31108,6.835387,-3.642526,34.7638,10.59,16,0,188,0,22.3205,437.989093,True,0.11
SOLUSDT,240,MACD_12_26_hist,0.12,10.0,,True,0,one_shot,204,-68.365573,-2.934665,65.430908,32.35,204,66,138,450.870356,-519.235929,6.831369,-3.762579,35.5163,10.65,7,0,196,1,26.2547,431.634427,True,0.14
SOLUSDT,240,RSI14_7030,0.03,10.0,,True,0,one_shot,155,-93.475467,-54.42923,39.046237,22.95,122,28,94,218.631533,-312.107,7.808269,-3.320287,29.8357,9.6,94,0,27,1,25.7855,406.524533,True,0.13
SOLUSDT,240,RSI14_7030,0.05,10.0,,True,0,one_shot,155,-75.30864,-41.359677,33.948963,34.91,106,37,69,286.552218,-361.860858,7.744655,-5.24436,40.3754,14.65,68,0,37,1,25.4659,424.69136,True,0.14
SOLUSDT,240,RSI14_7030,0.08,10.0,,True,0,one_shot,155,-163.837569,-136.947636,26.889933,39.29,84,33,51,245.001282,-408.838851,7.424281,-8.016448,51.9175,19.44,49,0,34,1,38.6761,336.162431,True,0.1
SOLUSDT,240,RSI14_7030,0.12,10.0,,True,0,one_shot,155,-107.854202,-85.444138,22.410063,52.86,70,37,33,228.976918,-336.831119,6.188565,-10.207004,62.2546,28.44,26,0,43,1,29.2211,392.145798,True,0.12
