symbol,interval,strategy,activate_pct,trail_pct,no_trail,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,EMA_8_21,0.06,0.04,False,a0.06_t0.04,True,0.03,0,one_shot,111,-74.242908,-38.670802,35.572106,34.23,111,38,73,139.524729,-213.767637,3.671703,-2.928324,44.3684,6.71,53,40,18,0,16.253,425.757092,True,0.08
SOLUSDT,240,EMA_8_21,0.06,0.08,False,a0.06_t0.08,False,0.03,0,one_shot,111,-9.945792,25.685242,35.631034,32.43,111,36,75,208.986514,-218.932306,5.805181,-2.919097,33.4595,11.84,53,36,22,0,13.4951,490.054208,True,0.07
SOLUSDT,240,EMA_8_21,0.1,0.04,False,a0.1_t0.04,False,0.03,0,one_shot,111,-18.40191,17.125148,35.527059,29.73,111,33,78,204.388299,-222.79021,6.193585,-2.856285,31.5616,9.49,55,29,27,0,8.843,481.59809,True,0.07
SOLUSDT,240,EMA_8_21,0.1,0.08,False,a0.1_t0.08,False,0.03,0,one_shot,111,11.962326,47.545981,35.583655,29.73,111,33,78,234.752535,-222.79021,7.113713,-2.856285,28.6488,13.02,55,28,28,0,9.3314,511.962326,True,0.08
SOLUSDT,240,EMA_8_21,0.15,0.04,False,a0.15_t0.04,False,0.03,0,one_shot,111,0.686281,36.257583,35.571301,26.13,111,29,82,232.770956,-232.084675,8.026585,-2.830301,26.0692,12.81,57,19,35,0,9.8571,500.686281,True,0.07
SOLUSDT,240,EMA_8_21,0.15,0.08,False,a0.15_t0.08,False,0.03,0,one_shot,111,-1.888638,33.706135,35.594773,26.13,111,29,82,230.196037,-232.084675,7.937794,-2.830301,26.2841,14.11,57,18,36,0,11.3793,498.111362,True,0.07
SOLUSDT,240,EMA_8_21,0.2,0.04,False,a0.2_t0.04,False,0.03,0,one_shot,111,-8.243278,27.336177,35.579454,26.13,111,29,82,223.841397,-232.084675,7.718669,-2.830301,26.8301,14.69,57,9,45,0,12.5058,491.756722,True,0.07
SOLUSDT,240,EMA_8_21,0.2,0.08,False,a0.2_t0.08,False,0.03,0,one_shot,111,2.761264,38.33566,35.574396,26.13,111,29,82,234.845938,-232.084675,8.098136,-2.830301,25.8985,15.32,57,9,45,0,13.1248,502.761264,True,0.07
SOLUSDT,240,EMA_8_21,10.0,,True,no_trail,False,0.03,0,one_shot,111,12.141222,47.702753,35.561531,26.13,111,29,82,244.225897,-232.084675,8.421583,-2.830301,25.154,16.82,57,0,53,1,12.2558,512.141222,True,0.07
SOLUSDT,240,MACD_12_26_hist,0.06,0.04,False,a0.06_t0.04,True,0.03,0,one_shot,204,-184.800651,-119.488146,65.312505,31.37,204,64,140,200.531592,-385.332243,3.133306,-2.752373,46.7639,5.83,93,58,53,0,40.048,315.199349,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.06,0.08,False,a0.06_t0.08,False,0.03,0,one_shot,204,-92.972126,-27.588032,65.384094,28.43,204,58,146,300.033958,-393.006085,5.172999,-2.691822,34.2261,7.8,93,29,82,0,24.2139,407.027874,True,0.07
SOLUSDT,240,MACD_12_26_hist,0.1,0.04,False,a0.1_t0.04,False,0.03,0,one_shot,204,-124.378953,-59.032219,65.346734,28.43,204,58,146,276.092533,-400.471486,4.760216,-2.742955,36.5573,7.2,95,33,76,0,29.5138,375.621047,True,0.07
SOLUSDT,240,MACD_12_26_hist,0.1,0.08,False,a0.1_t0.08,False,0.03,0,one_shot,204,-81.805481,-16.441018,65.364463,28.43,204,58,146,318.666006,-400.471486,5.494241,-2.742955,33.2996,8.0,95,19,90,0,22.2731,418.194519,True,0.08
