symbol,interval,strategy,activate_pct,trail_pct,no_trail,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,LORENTZIAN_default,0.06,0.04,False,a0.06_t0.04,True,0.03,0,one_shot,70,-62.355545,-39.963574,22.391972,35.71,70,25,45,77.848346,-140.203891,3.113934,-3.115642,50.0137,6.01,40,27,3,0,14.831,437.644455,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.06,0.08,False,a0.06_t0.08,False,0.03,0,one_shot,70,-32.078791,-9.661293,22.417498,30.0,70,21,49,116.436492,-148.515284,5.544595,-3.030924,35.3439,10.36,40,23,7,0,12.9815,467.921209,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.1,0.04,False,a0.1_t0.04,False,0.03,0,one_shot,70,-24.927249,-2.563626,22.363623,32.86,70,23,47,123.87679,-148.804039,5.385947,-3.166043,37.0211,8.56,43,23,4,0,11.2012,475.072751,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.1,0.08,False,a0.1_t0.08,False,0.03,0,one_shot,70,-6.032753,16.353197,22.38595,32.86,70,23,47,142.771286,-148.804039,6.207447,-3.166043,33.7766,11.49,43,20,7,0,11.0331,493.967247,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.15,0.04,False,a0.15_t0.04,False,0.03,0,one_shot,70,41.025283,63.389171,22.363889,31.43,70,22,48,196.170087,-155.144804,8.916822,-3.232183,26.6045,13.34,45,14,11,0,6.8897,541.025283,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.15,0.08,False,a0.15_t0.08,False,0.03,0,one_shot,70,69.33606,91.729997,22.393937,31.43,70,22,48,224.480865,-155.144804,10.203676,-3.232183,24.0564,14.83,45,14,11,0,7.6613,569.33606,True,0.08
SOLUSDT,240,LORENTZIAN_default,0.2,0.04,False,a0.2_t0.04,False,0.03,0,one_shot,70,36.859183,59.253279,22.394096,30.0,70,21,49,192.414407,-155.555224,9.162591,-3.174596,25.7319,15.67,45,8,17,0,7.436,536.859183,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.2,0.08,False,a0.2_t0.08,False,0.03,0,one_shot,70,62.754716,85.156014,22.401298,30.0,70,21,49,218.30994,-155.555224,10.395711,-3.174596,23.3937,16.41,45,8,17,0,8.1538,562.754716,True,0.08
SOLUSDT,240,LORENTZIAN_default,10.0,,True,no_trail,False,0.03,0,one_shot,70,72.703777,95.144478,22.440701,30.0,70,21,49,228.259,-155.555224,10.869476,-3.174596,22.6045,18.24,45,0,24,1,8.4899,572.703777,True,0.13
SOLUSDT,60,LORENTZIAN_default,0.06,0.04,False,a0.06_t0.04,True,0.03,0,one_shot,290,-158.110349,-65.32925,92.781099,33.45,290,97,193,334.922945,-493.033294,3.452814,-2.554577,42.5239,20.93,112,70,108,0,36.2906,341.889651,True,0.22
