symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,EMA_8_21,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,111,-109.799115,-74.276342,35.522773,6.31,111,7,104,1.067191,-110.866305,0.152456,-1.066022,87.488,0.9,19,83,9,0,22.1572,390.200885,True,0.09
SOLUSDT,240,EMA_8_21,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,111,-130.627344,-95.102282,35.525061,5.41,111,6,105,3.237732,-133.865076,0.539622,-1.274905,70.261,1.14,19,83,9,0,26.1255,369.372656,True,0.08
SOLUSDT,240,EMA_8_21,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,111,-97.001466,-61.470174,35.531292,25.23,111,28,83,75.582759,-172.584225,2.699384,-2.079328,43.5123,4.18,20,80,11,0,20.7708,402.998534,True,0.09
SOLUSDT,240,EMA_8_21,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,111,-125.396813,-89.883895,35.512918,30.63,111,34,77,44.684729,-170.081542,1.314257,-2.208851,62.6961,3.18,38,58,15,0,25.4823,374.603187,True,0.1
SOLUSDT,240,EMA_8_21,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,111,-129.460435,-93.945355,35.51508,30.63,111,34,77,40.621106,-170.081542,1.194738,-2.208851,64.8977,3.27,38,58,15,0,26.3863,370.539565,True,0.09
SOLUSDT,240,EMA_8_21,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,111,-84.444124,-48.899414,35.54471,30.63,111,34,77,90.359222,-174.803345,2.657624,-2.270173,46.0687,4.93,38,58,15,0,18.2781,415.555876,True,0.09
SOLUSDT,240,EMA_8_21,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,111,-83.061782,-47.501114,35.560667,34.23,111,38,73,130.705855,-213.767637,3.439628,-2.928324,45.9853,5.88,53,40,18,0,17.7252,416.938218,True,0.09
SOLUSDT,240,EMA_8_21,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,111,-85.589126,-50.031039,35.558086,34.23,111,38,73,128.178511,-213.767637,3.373119,-2.928324,46.4707,5.9,53,40,18,0,18.2288,414.410874,True,0.09
SOLUSDT,240,EMA_8_21,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,111,-74.242908,-38.670802,35.572106,34.23,111,38,73,139.524729,-213.767637,3.671703,-2.928324,44.3684,6.71,53,40,18,0,16.253,425.757092,True,0.08
SOLUSDT,240,MACD_12_26_hist,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,204,-212.165145,-146.871447,65.293698,4.9,204,10,194,1.741468,-213.906614,0.174147,-1.102611,86.3602,0.75,36,150,18,0,42.433,287.834855,True,0.12
SOLUSDT,240,MACD_12_26_hist,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,204,-226.71433,-161.421583,65.292747,8.82,204,18,186,8.398591,-235.112921,0.466588,-1.264048,73.0395,1.0,36,150,18,0,45.3429,273.28567,True,0.11
SOLUSDT,240,MACD_12_26_hist,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,204,-214.366899,-149.100588,65.26631,23.04,204,47,157,104.89992,-319.266818,2.231913,-2.033547,47.6747,3.58,37,142,25,0,43.2992,285.633101,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,204,-246.606532,-181.318887,65.287645,29.41,204,60,144,76.394372,-323.000903,1.27324,-2.243062,63.7904,2.75,74,100,30,0,49.9996,253.393468,True,0.08
SOLUSDT,240,MACD_12_26_hist,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,204,-250.261596,-184.974088,65.287508,29.41,204,60,144,72.739308,-323.000903,1.212322,-2.243062,64.915,2.85,74,100,30,0,50.7107,249.738404,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,204,-225.40536,-160.138239,65.26712,25.98,204,53,151,112.278453,-337.683812,2.118461,-2.236317,51.3532,4.08,74,98,32,0,46.1371,274.59464,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,204,-193.492553,-128.209146,65.283406,31.37,204,64,140,191.83969,-385.332243,2.997495,-2.752373,47.8685,5.26,93,59,52,0,41.1042,306.507447,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,204,-196.398651,-131.118754,65.279897,31.37,204,64,140,188.933591,-385.332243,2.952087,-2.752373,48.2495,5.29,93,59,52,0,41.6089,303.601349,True,0.09
SOLUSDT,240,MACD_12_26_hist,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,204,-184.800651,-119.488146,65.312505,31.37,204,64,140,200.531592,-385.332243,3.133306,-2.752373,46.7639,5.83,93,58,53,0,40.048,315.199349,True,0.18
SOLUSDT,240,RSI14_7030,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,155,-135.663295,-86.693798,48.969497,5.88,153,9,144,1.833105,-137.496399,0.203678,-0.954836,82.419,0.86,29,124,0,0,27.1327,364.336705,True,0.14
SOLUSDT,240,RSI14_7030,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,155,-152.762485,-104.119752,48.642733,12.5,152,19,133,12.004218,-164.766703,0.631801,-1.238847,66.2256,1.2,29,123,0,0,30.5525,347.237515,True,0.14
