symbol,interval,strategy,activate_pct,trail_pct,cell,is_baseline_cell,max_sl_pct,cooldown_candles,mask_mode,n_calls,net_pnl,gross_pnl,total_costs,win_rate,n_trades,n_wins,n_losses,sum_wins,sum_losses,avg_winner,avg_loser,breakeven_win_rate_pct,mean_bars_held,exit_initial_sl,exit_trailing_sl,exit_signal_reverse,exit_end_of_data,max_drawdown_pct,final_equity,survived,seconds
SOLUSDT,240,LORENTZIAN_default,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,70,-84.851449,-62.460727,22.390721,2.86,70,2,68,0.251892,-85.10334,0.125946,-1.25152,90.8567,1.0,20,50,0,0,16.9703,415.148551,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,70,-87.334301,-64.941212,22.39309,8.57,70,6,64,2.915048,-90.249349,0.485841,-1.410146,74.3753,1.44,20,50,0,0,17.4669,412.665699,True,0.1
SOLUSDT,240,LORENTZIAN_default,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,70,-71.371973,-48.972388,22.399585,24.29,70,17,53,37.127195,-108.499168,2.183953,-2.047154,48.3834,3.77,20,50,0,0,14.7307,428.628027,True,0.11
SOLUSDT,240,LORENTZIAN_default,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,70,-84.391728,-62.008372,22.383356,35.71,70,25,45,26.84114,-111.232867,1.073646,-2.471841,69.718,3.0,31,38,1,0,17.3688,415.608272,True,0.07
SOLUSDT,240,LORENTZIAN_default,0.03,0.02,a0.03_t0.02,True,0.03,0,one_shot,70,-85.326404,-62.946282,22.380122,35.71,70,25,45,25.906464,-111.232867,1.036259,-2.471841,70.461,3.04,31,38,1,0,17.5552,414.673596,True,0.06
SOLUSDT,240,LORENTZIAN_default,0.03,0.04,a0.03_t0.04,False,0.03,0,one_shot,70,-76.098967,-53.703477,22.39549,27.14,70,19,51,38.705249,-114.804216,2.037118,-2.251063,52.4946,4.23,31,38,1,0,15.931,423.901033,True,0.08
SOLUSDT,240,LORENTZIAN_default,0.06,0.01,a0.06_t0.01,False,0.03,0,one_shot,70,-65.292899,-42.883903,22.408995,35.71,70,25,45,74.910993,-140.203891,2.99644,-3.115642,50.9751,5.49,40,27,3,0,15.2122,434.707101,True,0.14
SOLUSDT,240,LORENTZIAN_default,0.06,0.02,a0.06_t0.02,False,0.03,0,one_shot,70,-64.352145,-41.940884,22.411261,35.71,70,25,45,75.851746,-140.203891,3.03407,-3.115642,50.6632,5.54,40,27,3,0,15.0246,435.647855,True,0.15
SOLUSDT,240,LORENTZIAN_default,0.06,0.04,a0.06_t0.04,False,0.03,0,one_shot,70,-62.355545,-39.963574,22.391972,35.71,70,25,45,77.848346,-140.203891,3.113934,-3.115642,50.0137,6.01,40,27,3,0,14.831,437.644455,True,0.12
SOLUSDT,60,LORENTZIAN_default,0.01,0.01,a0.01_t0.01,False,0.03,0,one_shot,290,-285.574213,-192.761102,92.813111,11.72,290,34,256,9.648697,-295.22291,0.283785,-1.153214,80.2515,4.42,58,221,11,0,57.157,214.425787,True,0.19
SOLUSDT,60,LORENTZIAN_default,0.01,0.02,a0.01_t0.02,False,0.03,0,one_shot,290,-271.543654,-178.762544,92.78111,19.66,290,57,233,56.740375,-328.284029,0.995445,-1.408944,58.5988,6.81,58,220,12,0,54.4328,228.456346,True,0.19
SOLUSDT,60,LORENTZIAN_default,0.01,0.04,a0.01_t0.04,False,0.03,0,one_shot,290,-161.590737,-68.806779,92.783958,31.72,290,92,198,268.178269,-429.769006,2.914981,-2.170551,42.6809,17.69,58,182,50,0,33.7942,338.409263,True,0.21
SOLUSDT,60,LORENTZIAN_default,0.03,0.01,a0.03_t0.01,False,0.03,0,one_shot,290,-241.9386,-149.119804,92.818797,41.38,290,120,170,180.906284,-422.844884,1.507552,-2.487323,62.2628,11.49,97,144,49,0,49.4352,258.0614,True,0.27
